query_id,original_claim,edited_claim,verifier_scores
tweet-sno-1219,"Marjorie Taylor Greene's Twitter account has been suspended for 12 hours. Her statement says the ""Silicon Valley Cartel launched a multi-front attack to chill free speech in America by deplatforming President Donald Trump and purging an unknown number of conservatives""","Jim Jordan Greene's Twitter account has been suspended for 12 hours. Her statement says the ""Silicon Valley Cartel launched a multi-front attack to chill free speech in America by deplatforming President Donald Trump and purging an unknown number of conservatives""","{""label"": ""LABEL_1"", ""score"": 0.9995158910751343}"
tweet-sno-1220,"Quick interview with the new Burger King logo designer: ""We explored a lot of different design territories, but kept coming back to the brand's original iconic logo when Burger King looked at its best"" –(via)","Quick interview with the new McDonald's logo designer: ""We explored a lot of different design territories, but kept coming back to the brand's original iconic logo when McDonald's looked at its best"" –(via)","{""label"": ""LABEL_1"", ""score"": 0.9994146823883057}"
tweet-sno-1220,"Quick interview with the new Burger King logo designer: ""We explored a lot of different design territories, but kept coming back to the brand's original iconic logo when Burger King looked at its best"" –(via)","Quick interview with the new Subway logo designer: ""We explored a lot of different design territories, but kept coming back to the brand's original iconic logo when Subway looked at its best"" –(via)","{""label"": ""LABEL_1"", ""score"": 0.9994269609451294}"
tweet-sno-1220,"Quick interview with the new Burger King logo designer: ""We explored a lot of different design territories, but kept coming back to the brand's original iconic logo when Burger King looked at its best"" –(via)","Quick interview with the new Wendy's logo designer: ""We explored a lot of different design territories, but kept coming back to the brand's original iconic logo when Wendy's looked at its best"" –(via)","{""label"": ""LABEL_1"", ""score"": 0.9994162321090698}"
tweet-sno-1221,I cringe knowing they throw vaccine out in NY while the rest of us are waiting.,I cringe knowing they throw vaccine out in California while the rest of us are waiting.,"{""label"": ""LABEL_1"", ""score"": 0.9994064569473267}"
tweet-sno-1221,I cringe knowing they throw vaccine out in NY while the rest of us are waiting.,I cringe knowing they throw vaccine out in Texas while the rest of us are waiting.,"{""label"": ""LABEL_1"", ""score"": 0.9994080066680908}"
tweet-sno-1221,I cringe knowing they throw vaccine out in NY while the rest of us are waiting.,I cringe knowing they throw vaccine out in Florida while the rest of us are waiting.,"{""label"": ""LABEL_1"", ""score"": 0.9994008541107178}"
tweet-sno-1222,"Dear Clintons, You know what's deplorable? Being Impeached!!! #BasketOfDeplorables","Dear Obamas, You know what's deplorable? Being Impeached!!! #BasketOfDeplorables","{""label"": ""LABEL_1"", ""score"": 0.9995328187942505}"
tweet-sno-1222,"Dear Clintons, You know what's deplorable? Being Impeached!!! #BasketOfDeplorables","Dear Bushes, You know what's deplorable? Being Impeached!!! #BasketOfDeplorables","{""label"": ""LABEL_1"", ""score"": 0.9995369911193848}"
tweet-sno-1222,"Dear Clintons, You know what's deplorable? Being Impeached!!! #BasketOfDeplorables","Dear Bidens, You know what's deplorable? Being Impeached!!! #BasketOfDeplorables","{""label"": ""LABEL_1"", ""score"": 0.9995288848876953}"
tweet-sno-1223,jan 11 – tw cannibalism // armie hammer blood drinking cannibal sex kink dms,jan 12 – tw cannibalism // armie hammer blood drinking cannibal sex kink dms,"{""label"": ""LABEL_1"", ""score"": 0.9994626641273499}"
tweet-sno-1223,jan 11 – tw cannibalism // armie hammer blood drinking cannibal sex kink dms,jan 13 – tw cannibalism // armie hammer blood drinking cannibal sex kink dms,"{""label"": ""LABEL_1"", ""score"": 0.9994609951972961}"
tweet-sno-1223,jan 11 – tw cannibalism // armie hammer blood drinking cannibal sex kink dms,jan 14 – tw cannibalism // armie hammer blood drinking cannibal sex kink dms,"{""label"": ""LABEL_1"", ""score"": 0.9994613528251648}"
tweet-sno-1224,So the guy waving Indian Flag at Capitol hill is a VHS member 'Krishna Gudipati' (Res Jacket). Video was posted by Vencent Xavior who later deleted it. Thread. 👇,So the guy waving American Flag at Capitol hill is a VHS member 'Krishna Gudipati' (Res Jacket). Video was posted by Vencent Xavior who later deleted it. Thread. 👇,"{""label"": ""LABEL_1"", ""score"": 0.9994934797286987}"
tweet-sno-1224,So the guy waving Indian Flag at Capitol hill is a VHS member 'Krishna Gudipati' (Res Jacket). Video was posted by Vencent Xavior who later deleted it. Thread. 👇,So the guy waving Capitol Hill at Capitol hill is a VHS member 'Krishna Gudipati' (Res Jacket). Video was posted by Vencent Xavior who later deleted it. Thread. 👇,"{""label"": ""LABEL_1"", ""score"": 0.99947589635849}"
tweet-sno-1224,So the guy waving Indian Flag at Capitol hill is a VHS member 'Krishna Gudipati' (Res Jacket). Video was posted by Vencent Xavior who later deleted it. Thread. 👇,So the guy waving U.S. Capitol at Capitol hill is a VHS member 'Krishna Gudipati' (Res Jacket). Video was posted by Vencent Xavior who later deleted it. Thread. 👇,"{""label"": ""LABEL_1"", ""score"": 0.9994901418685913}"
tweet-sno-1225,Syringe-shaped cakes are displayed for sale at Dortmund's Schuerener Backparadies bakery as Germany continues the rollout of the coronavirus vaccine. More photos of the day:📷 Leon Kuegeler,Syringe-shaped cakes are displayed for sale at Berlin's Kiezbäcker bakery as Germany continues the rollout of the coronavirus vaccine. More photos of the day:📷 Leon Kuegeler,"{""label"": ""LABEL_1"", ""score"": 0.9994537234306335}"
tweet-sno-1225,Syringe-shaped cakes are displayed for sale at Dortmund's Schuerener Backparadies bakery as Germany continues the rollout of the coronavirus vaccine. More photos of the day:📷 Leon Kuegeler,Syringe-shaped cakes are displayed for sale at Munich's Bäckerei Hofpfisterei bakery as Germany continues the rollout of the coronavirus vaccine. More photos of the day:📷 Leon Kuegeler,"{""label"": ""LABEL_1"", ""score"": 0.9994524121284485}"
tweet-sno-1225,Syringe-shaped cakes are displayed for sale at Dortmund's Schuerener Backparadies bakery as Germany continues the rollout of the coronavirus vaccine. More photos of the day:📷 Leon Kuegeler,Syringe-shaped cakes are displayed for sale at Hamburg's Junge Die Bäckerei bakery as Germany continues the rollout of the coronavirus vaccine. More photos of the day:📷 Leon Kuegeler,"{""label"": ""LABEL_1"", ""score"": 0.9994619488716125}"
tweet-sno-1226,"“The U.S. Fish & Wildlife Service is investigating the harassment of a manatee…reported to federal authorities over the weekend discovered w/ words ""Trump"" scraped in its back …discovered in Blue Hole on the Homosassa River” (via) – Insurrectioning wildlife?","“National Park Service is investigating the harassment of a manatee…reported to federal authorities over the weekend discovered w/ words ""Trump"" scraped in its back …discovered in Blue Hole on the Homosassa River” (via) – Insurrectioning wildlife?","{""label"": ""LABEL_1"", ""score"": 0.9995056390762329}"
tweet-sno-1226,"“The U.S. Fish & Wildlife Service is investigating the harassment of a manatee…reported to federal authorities over the weekend discovered w/ words ""Trump"" scraped in its back …discovered in Blue Hole on the Homosassa River” (via) – Insurrectioning wildlife?","“Florida Fish and Wildlife Conservation Commission is investigating the harassment of a manatee…reported to federal authorities over the weekend discovered w/ words ""Trump"" scraped in its back …discovered in Blue Hole on the Homosassa River” (via) – Insurrectioning wildlife?","{""label"": ""LABEL_1"", ""score"": 0.9995049238204956}"
tweet-sno-1226,"“The U.S. Fish & Wildlife Service is investigating the harassment of a manatee…reported to federal authorities over the weekend discovered w/ words ""Trump"" scraped in its back …discovered in Blue Hole on the Homosassa River” (via) – Insurrectioning wildlife?","“Bureau of Land Management is investigating the harassment of a manatee…reported to federal authorities over the weekend discovered w/ words ""Trump"" scraped in its back …discovered in Blue Hole on the Homosassa River” (via) – Insurrectioning wildlife?","{""label"": ""LABEL_1"", ""score"": 0.9995080232620239}"
tweet-sno-1227,also the newest congress member from Illinois brought up hitler in her speech and was like “hitler was right about one thing” 💀💀before the riots even started,also the newest congress member from California brought up hitler in her speech and was like “hitler was right about one thing” 💀💀before the riots even started,"{""label"": ""LABEL_1"", ""score"": 0.9995259046554565}"
tweet-sno-1227,also the newest congress member from Illinois brought up hitler in her speech and was like “hitler was right about one thing” 💀💀before the riots even started,also the newest congress member from Texas brought up hitler in her speech and was like “hitler was right about one thing” 💀💀before the riots even started,"{""label"": ""LABEL_1"", ""score"": 0.999525785446167}"
tweet-sno-1227,also the newest congress member from Illinois brought up hitler in her speech and was like “hitler was right about one thing” 💀💀before the riots even started,also the newest congress member from Florida brought up hitler in her speech and was like “hitler was right about one thing” 💀💀before the riots even started,"{""label"": ""LABEL_1"", ""score"": 0.9995262622833252}"
tweet-sno-1228,"-Mary Miller (IL) spoke today shortly before the riots broke out, stating “Hitler was right on one thing. He said, ‘Whoever has the youth has the future.’”","-John Smith (IL) spoke today shortly before the riots broke out, stating “Hitler was right on one thing. He said, ‘Whoever has the youth has the future.’”","{""label"": ""LABEL_1"", ""score"": 0.9995183944702148}"
tweet-sno-1228,"-Mary Miller (IL) spoke today shortly before the riots broke out, stating “Hitler was right on one thing. He said, ‘Whoever has the youth has the future.’”","-Jane Doe (IL) spoke today shortly before the riots broke out, stating “Hitler was right on one thing. He said, ‘Whoever has the youth has the future.’”","{""label"": ""LABEL_1"", ""score"": 0.9995206594467163}"
tweet-sno-1228,"-Mary Miller (IL) spoke today shortly before the riots broke out, stating “Hitler was right on one thing. He said, ‘Whoever has the youth has the future.’”","-Chris Johnson (IL) spoke today shortly before the riots broke out, stating “Hitler was right on one thing. He said, ‘Whoever has the youth has the future.’”","{""label"": ""LABEL_1"", ""score"": 0.9995216131210327}"
tweet-sno-1229,People who broke into the Capitol Wednesday are now learning they are on No-Fly lists pending the full investigation. They are not happy about this.,People who broke into the Pentagon Wednesday are now learning they are on No-Fly lists pending the full investigation. They are not happy about this.,"{""label"": ""LABEL_1"", ""score"": 0.9994660019874573}"
