query_id,query,target,tokens_to_replace,replaced_token
tweet-sno-1215,"On MLK day, Instagram has labeled this post about MLK from MLK’s daughter as “misleading”… This is 🤬 outrageous!","Instagram flagged a reposted tweet from Bernice King about her father, the Rev. Martin Luther King Jr., on Jan. 18, 2021, which is MLK Day, for misinformation pertaining to the COVID-19 vaccine.","[{""token"": ""MLK day"", ""type"": ""DATE"", ""description"": ""Absolute or relative dates or periods""}, {""token"": ""Instagram"", ""type"": ""ORG"", ""description"": ""Companies, agencies, institutions, etc.""}, {""token"": ""MLK"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""MLK day"",
      ""replacements"": [""Independence Day"", ""Labor Day"", ""Veterans Day""]
    },
    {
      ""token"": ""Instagram"",
      ""replacements"": [""Facebook"", ""Twitter"", ""TikTok""]
    },
    {
      ""token"": ""MLK"",
      ""replacements"": [""Nelson Mandela"", ""Malcolm X"", ""Rosa Parks""]
    }
  ]
}"
tweet-sno-1216,"The MyPillow website has an active promo code “QAnon” which gets you a $45 discount. (h/tfor this discovery) MyPillow CEO Mike Lindell visited the White House yesterday to meet w/ Pres Trump (45), armed with notes referencing martial law and election conspiracy theories","MyPillow offered discounts on its products if buyers used codes like “QAnon,” “Q,” and “Storm” during checkout on their website.","[{""token"": ""MyPillow"", ""type"": ""ORG"", ""description"": ""Companies, agencies, institutions, etc.""}, {""token"": ""QAnon"", ""type"": ""PRODUCT"", ""description"": ""Vehicles, weapons, foods, etc. (Not services)""}, {""token"": ""45"", ""type"": ""MONEY"", ""description"": ""Monetary values, including unit""}, {""token"": ""MyPillow"", ""type"": ""ORG"", ""description"": ""Companies, agencies, institutions, etc.""}, {""token"": ""Mike Lindell"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}, {""token"": ""the White House"", ""type"": ""FAC"", ""description"": ""Buildings, airports, highways, bridges, etc.""}, {""token"": ""yesterday"", ""type"": ""DATE"", ""description"": ""Absolute or relative dates or periods""}, {""token"": ""Pres Trump"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}, {""token"": ""45"", ""type"": ""DATE"", ""description"": ""Absolute or relative dates or periods""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""MyPillow"",
      ""replacements"": [""Tempur-Pedic"", ""Casper"", ""Purple""]
    },
    {
      ""token"": ""QAnon"",
      ""replacements"": [""Patriot"", ""Freedom"", ""Victory""]
    },
    {
      ""token"": ""45"",
      ""replacements"": [""50"", ""40"", ""55""]
    }
  ]
}"
tweet-sno-1217,Tesla is hiring a full-time position to handle people talking shit aboutonline,"A job listing posted by Tesla in January 2021 described the specialist role as having to “address social media escalations … directed at the CEO,” who at the time of this writing was Elon Musk.","[{""token"": ""Tesla"", ""type"": ""ORG"", ""description"": ""Companies, agencies, institutions, etc.""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""Tesla"",
      ""replacements"": [""Apple"", ""Amazon"", ""Microsoft""]
    }
  ]
}"
tweet-sno-1219,"Marjorie Taylor Greene's Twitter account has been suspended for 12 hours. Her statement says the ""Silicon Valley Cartel launched a multi-front attack to chill free speech in America by deplatforming President Donald Trump and purging an unknown number of conservatives""","Twitter suspended the account of U.S. Rep. Marjorie Taylor Greene, a Republican from Georgia, after she made erroneous claims regarding election fraud in a video clip.","[{""token"": ""Marjorie Taylor"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}, {""token"": ""Twitter"", ""type"": ""ORG"", ""description"": ""Companies, agencies, institutions, etc.""}, {""token"": ""12 hours"", ""type"": ""TIME"", ""description"": ""Times smaller than a day""}, {""token"": ""the \""Silicon Valley Cartel"", ""type"": ""ORG"", ""description"": ""Companies, agencies, institutions, etc.""}, {""token"": ""America"", ""type"": ""GPE"", ""description"": ""Countries, cities, states""}, {""token"": ""Donald Trump"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""Marjorie Taylor"",
      ""replacements"": [""Ilhan Omar"", ""Lauren Boebert"", ""Alexandria Ocasio-Cortez""]
    },
    {
      ""token"": ""Twitter"",
      ""replacements"": [""Facebook"", ""Instagram"", ""YouTube""]
    },
    {
      ""token"": ""12 hours"",
      ""replacements"": [""24 hours"", ""6 hours"", ""48 hours""]
    }
  ]
}"
tweet-sno-1220,"Quick interview with the new Burger King logo designer: ""We explored a lot of different design territories, but kept coming back to the brand's original iconic logo when Burger King looked at its best"" –(via)",Burger King unveiled a new logo for its brand in 2021.,"[{""token"": ""Burger King"", ""type"": ""ORG"", ""description"": ""Companies, agencies, institutions, etc.""}, {""token"": ""Burger King"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}]","{
    ""replaceable_entities"": [
        {
            ""token"": ""Burger King"",
            ""replacements"": [""McDonald's"", ""Wendy's"", ""Taco Bell""]
        },
        {
            ""token"": ""Burger King"",
            ""replacements"": [""John Smith"", ""Jane Doe"", ""Alex Johnson""]
        }
    ]
}"
tweet-sno-1221,I cringe knowing they throw vaccine out in NY while the rest of us are waiting.,New York State threw away COVID-19 vaccine doses that could have been otherwise used.,"[{""token"": ""NY"", ""type"": ""GPE"", ""description"": ""Countries, cities, states""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""NY"",
      ""replacements"": [""California"", ""Florida"", ""Texas""]
    }
  ]
}"
tweet-sno-1222,"Dear Clintons, You know what's deplorable? Being Impeached!!! #BasketOfDeplorables","Donald Trump Jr. taunted the Clintons in 2016 by tweeting that being impeached was ""deplorable.""","[{""token"": ""Clintons"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""Clintons"",
      ""replacements"": [""Obamas"", ""Bushes"", ""Bidens""]
    }
  ]
}"
tweet-sno-1223,jan 11 – tw cannibalism // armie hammer blood drinking cannibal sex kink dms,Screenshots of DMs and texts alleged to be from actor Armie Hammer suggesting he is into cannibalism and kinky sex are real and authentic.,"[{""token"": ""11"", ""type"": ""CARDINAL"", ""description"": ""Numerals that do not fall under another type""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""11"",
      ""replacements"": [""21"", ""15"", ""30""]
    }
  ]
}"
tweet-sno-1224,So the guy waving Indian Flag at Capitol hill is a VHS member 'Krishna Gudipati' (Res Jacket). Video was posted by Vencent Xavior who later deleted it. Thread. 👇,"An Indian flag was waved among the crowd of people that stormed the U.S. Capitol on Jan. 6, 2021.","[{""token"": ""Indian Flag"", ""type"": ""WORK_OF_ART"", ""description"": ""Titles of books, songs, etc. ""}, {""token"": ""Capitol"", ""type"": ""ORG"", ""description"": ""Companies, agencies, institutions, etc.""}, {""token"": ""Krishna Gudipati'"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}, {""token"": ""Res Jacket"", ""type"": ""WORK_OF_ART"", ""description"": ""Titles of books, songs, etc. ""}, {""token"": ""Vencent Xavior"", ""type"": ""ORG"", ""description"": ""Companies, agencies, institutions, etc.""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""Indian Flag"",
      ""replacements"": [""American Flag"", ""Canadian Flag"", ""British Flag""]
    },
    {
      ""token"": ""Capitol"",
      ""replacements"": [""White House"", ""Pentagon"", ""Supreme Court""]
    },
    {
      ""token"": ""Krishna Gudipati"",
      ""replacements"": [""Ramesh Patel"", ""Sanjay Sharma"", ""Vivek Mehta""]
    }
  ]
}"
tweet-sno-1225,Syringe-shaped cakes are displayed for sale at Dortmund's Schuerener Backparadies bakery as Germany continues the rollout of the coronavirus vaccine. More photos of the day:📷 Leon Kuegeler,A German bakery is making cakes in the shape of syringes in honor of COVID-19 vaccines.,"[{""token"": ""Dortmund's Schuerener Backparadies"", ""type"": ""ORG"", ""description"": ""Companies, agencies, institutions, etc.""}, {""token"": ""Germany"", ""type"": ""GPE"", ""description"": ""Countries, cities, states""}, {""token"": ""Leon Kuegeler"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""Dortmund's Schuerener Backparadies"",
      ""replacements"": [
        ""Berlin's Sweet Delights"",
        ""Munich's Cake Haven"",
        ""Hamburg's Dessert Shop""
      ]
    },
    {
      ""token"": ""Germany"",
      ""replacements"": [
        ""France"",
        ""Italy"",
        ""Spain""
      ]
    },
    {
      ""token"": ""Leon Kuegeler"",
      ""replacements"": [
        ""Hans Müller"",
        ""Sarah Schmidt"",
        ""Michael Fischer""
      ]
    }
  ]
}"
tweet-sno-1226,"“The U.S. Fish & Wildlife Service is investigating the harassment of a manatee…reported to federal authorities over the weekend discovered w/ words ""Trump"" scraped in its back …discovered in Blue Hole on the Homosassa River” (via) – Insurrectioning wildlife?",An endangered Florida manatee was discovered with the word “Trump” carved into its back.,"[{""token"": ""The U.S. Fish & Wildlife Service"", ""type"": ""ORG"", ""description"": ""Companies, agencies, institutions, etc.""}, {""token"": ""the weekend"", ""type"": ""DATE"", ""description"": ""Absolute or relative dates or periods""}, {""token"": ""Trump"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}, {""token"": ""Blue Hole"", ""type"": ""LOC"", ""description"": ""Non-GPE locations, mountain ranges, bodies of water""}, {""token"": ""the Homosassa River"", ""type"": ""LOC"", ""description"": ""Non-GPE locations, mountain ranges, bodies of water""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""The U.S. Fish & Wildlife Service"",
      ""replacements"": [
        ""The National Park Service"",
        ""The Environmental Protection Agency"",
        ""The Wildlife Conservation Society""
      ]
    },
    {
      ""token"": ""the weekend"",
      ""replacements"": [
        ""Saturday"",
        ""Sunday"",
        ""last week""
      ]
    },
    {
      ""token"": ""Trump"",
      ""replacements"": [
        ""Biden"",
        ""Obama"",
        ""Bush""
      ]
    }
  ]
}"
tweet-sno-1227,also the newest congress member from Illinois brought up hitler in her speech and was like “hitler was right about one thing” 💀💀before the riots even started,"Rep. Mary Miller said ""Hitler was right on one thing"" before a mob of Trump supporters stormed the nation's Capitol on Jan. 6, 2020..","[{""token"": ""Illinois"", ""type"": ""GPE"", ""description"": ""Countries, cities, states""}, {""token"": ""one"", ""type"": ""CARDINAL"", ""description"": ""Numerals that do not fall under another type""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""Illinois"",
      ""replacements"": [""California"", ""Texas"", ""Florida""]
    },
    {
      ""token"": ""one"",
      ""replacements"": [""two"", ""three"", ""four""]
    }
  ]
}"
tweet-sno-1228,"-Mary Miller (IL) spoke today shortly before the riots broke out, stating “Hitler was right on one thing. He said, ‘Whoever has the youth has the future.’”","Rep. Mary Miller said ""Hitler was right on one thing"" before a mob of Trump supporters stormed the nation's Capitol on Jan. 6, 2020..","[{""token"": ""Mary Miller"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}, {""token"": ""IL"", ""type"": ""ORG"", ""description"": ""Companies, agencies, institutions, etc.""}, {""token"": ""today"", ""type"": ""DATE"", ""description"": ""Absolute or relative dates or periods""}, {""token"": ""Hitler"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}, {""token"": ""one"", ""type"": ""CARDINAL"", ""description"": ""Numerals that do not fall under another type""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""Mary Miller"",
      ""replacements"": [""John Doe"", ""Jane Smith"", ""Alex Johnson""]
    },
    {
      ""token"": ""IL"",
      ""replacements"": [""CA"", ""NY"", ""TX""]
    },
    {
      ""token"": ""today"",
      ""replacements"": [""yesterday"", ""last week"", ""recently""]
    }
  ]
}"
tweet-sno-1229,People who broke into the Capitol Wednesday are now learning they are on No-Fly lists pending the full investigation. They are not happy about this.,A video shows a person who attended the Capitol riot finding out that they had been added to the no-fly list.,"[{""token"": ""Capitol"", ""type"": ""FAC"", ""description"": ""Buildings, airports, highways, bridges, etc.""}, {""token"": ""Wednesday"", ""type"": ""DATE"", ""description"": ""Absolute or relative dates or periods""}, {""token"": ""No-Fly"", ""type"": ""ORG"", ""description"": ""Companies, agencies, institutions, etc.""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""Capitol"",
      ""replacements"": [
        ""White House"",
        ""Pentagon"",
        ""Supreme Court""
      ]
    },
    {
      ""token"": ""Wednesday"",
      ""replacements"": [
        ""Thursday"",
        ""January 6th"",
        ""the day of the incident""
      ]
    },
    {
      ""token"": ""No-Fly"",
      ""replacements"": [
        ""Terrorist Screening"",
        ""Watch"",
        ""Travel Ban""
      ]
    }
  ]
}"
tweet-sno-1230,apparently a guy accidentally tasered himself in the balls and then died of a heart attack while trying to steal a painting yesterday and if we can’t all come together over how hilarious that is we may be beyond hope,"An Alabama man who was in attendance during the Jan. 6, 2021, insurrection at the U.S. Capitol suffered a fatal heart attack after accidentally tasing himself in the testicles.","[{""token"": ""yesterday"", ""type"": ""DATE"", ""description"": ""Absolute or relative dates or periods""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""yesterday"",
      ""replacements"": [""last week"", ""two days ago"", ""on January 6, 2021""]
    }
  ]
}"
tweet-sno-1231,"* fraud alert * This text message is circulating in NYC, seeking to fool people into taking a call from a ""contact tracer"" asking that you ""pre-register"" for a vaccine. NYC's actual contact tracers will call you from a # beginning with 212-540-XXXX or 212-242-XXXX. [cont…]",New Yorkers can sign up for early access to the COVID-19 vaccine.,"[{""token"": ""NYC"", ""type"": ""GPE"", ""description"": ""Countries, cities, states""}, {""token"": ""212-540"", ""type"": ""CARDINAL"", ""description"": ""Numerals that do not fall under another type""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""NYC"",
      ""replacements"": [""Los Angeles"", ""Chicago"", ""San Francisco""]
    },
    {
      ""token"": ""212-540"",
      ""replacements"": [""213-570"", ""312-580"", ""415-590""]
    }
  ]
}"
tweet-sno-1232,"Reading about how few of the rioters were arrested yesterday while storming the Capitol Building, I'm reminded that Georgia's next senator, Rev. Raphael Warnock, had been arrested so many times for peacefully protesting at the Capitol that it became a feature of his stump speech.",Rev. Raphael Warnock was arrested while praying during a demonstration at the U.S. Capitol in 2017.,"[{""token"": ""yesterday"", ""type"": ""DATE"", ""description"": ""Absolute or relative dates or periods""}, {""token"": ""the Capitol Building"", ""type"": ""FAC"", ""description"": ""Buildings, airports, highways, bridges, etc.""}, {""token"": ""I'm"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}, {""token"": ""Georgia's"", ""type"": ""NORP"", ""description"": ""Nationalities or religious or political groups""}, {""token"": ""Raphael Warnock"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}, {""token"": ""Capitol"", ""type"": ""FAC"", ""description"": ""Buildings, airports, highways, bridges, etc.""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""yesterday"",
      ""replacements"": [
        ""last week"",
        ""recently"",
        ""a few days ago""
      ]
    },
    {
      ""token"": ""the Capitol Building"",
      ""replacements"": [
        ""the U.S. Capitol"",
        ""the federal building"",
        ""the congressional complex""
      ]
    },
    {
      ""token"": ""I'm"",
      ""replacements"": [
        ""Many"",
        ""One of us"",
        ""Some people""
      ]
    }
  ]
}"
tweet-sno-1233,"Ifwere to lose (he won’t) his supporters will go to work tomorrow just as we do everyday. When Biden loses, his “supporters” will likely loot and riot. Tells you everything you need to know! #Trump2020","Before the 2020 U.S. presidential election, conservative personality Tomi Lahren tweeted that then-Democratic candidate Joe Biden’s supporters would “loot and riot” if the former vice president lost.","[{""token"": ""tomorrow"", ""type"": ""DATE"", ""description"": ""Absolute or relative dates or periods""}, {""token"": ""Biden"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""tomorrow"",
      ""replacements"": [""the next day"", ""the following day"", ""in the morning""]
    },
    {
      ""token"": ""Biden"",
      ""replacements"": [""Harris"", ""Sanders"", ""Warren""]
    }
  ]
}"
tweet-sno-1234,"Electoral college ballots rescued from the Senate floor. If our capable floor staff hadn’t grabbed them, they would have been burned by the mob.","A photograph taken on Jan. 6, 2021, showed two female U.S. Senate aides safely transporting boxes of Electoral College votes during the Capitol insurrection.","[{""token"": ""Senate"", ""type"": ""ORG"", ""description"": ""Companies, agencies, institutions, etc.""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""Senate"",
      ""replacements"": [
        ""House of Representatives"",
        ""Capitol"",
        ""Congress""
      ]
    }
  ]
}"
