query_id,query,target,tokens_to_replace,min_replacement_response,max_replacement_response
tweet-sno-1225,Syringe-shaped cakes are displayed for sale at Dortmund's Schuerener Backparadies bakery as Germany continues the rollout of the coronavirus vaccine. More photos of the day:📷 Leon Kuegeler,A German bakery is making cakes in the shape of syringes in honor of COVID-19 vaccines.,"[{'token': ""Dortmund's Schuerener Backparadies"", 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'Germany', 'type': 'GPE', 'description': 'Countries, cities, states'}, {'token': 'Leon Kuegeler', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""Dortmund's Schuerener Backparadies"",
""replacements"": [""Berlin's Sweet Delight"", ""Hamburg's Cake Heaven"", ""Munich's Pastry Paradise""]
}
]
}","{
""replaceable_entities"": [
{
""token"": ""Dortmund's Schuerener Backparadies"",
""replacements"": [""Munich's Konditorei"", ""Berlin's Cafe Central"", ""Hamburg's Patisserie Royale""]
},
{
""token"": ""Germany"",
""replacements"": [""France"", ""Italy"", ""Spain""]
},
{
""token"": ""Leon Kuegeler"",
""replacements"": [""Anna Müller"", ""Hans Schmidt"", ""Lena Weber""]
}
]
}"
tweet-sno-1226,"“The U.S. Fish & Wildlife Service is investigating the harassment of a manatee…reported to federal authorities over the weekend discovered w/ words ""Trump"" scraped in its back …discovered in Blue Hole on the Homosassa River” (via) – Insurrectioning wildlife?",An endangered Florida manatee was discovered with the word “Trump” carved into its back.,"[{'token': 'The U.S. Fish & Wildlife Service', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'the weekend', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'Trump', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'Blue Hole', 'type': 'LOC', 'description': 'Non-GPE locations, mountain ranges, bodies of water'}, {'token': 'the Homosassa River', 'type': 'LOC', 'description': 'Non-GPE locations, mountain ranges, bodies of water'}]","{
""replaceable_entities"": [
{
""token"": ""The U.S. Fish & Wildlife Service"",
""replacements"": [""National Park Service"", ""Environmental Protection Agency"", ""Department of the Interior""]
}
]
}","{
""replaceable_entities"": [
{
""token"": ""The U.S. Fish & Wildlife Service"",
""replacements"": [""National Park Service"", ""Environmental Protection Agency"", ""Department of the Interior""]
},
{
""token"": ""the weekend"",
""replacements"": [""last week"", ""yesterday"", ""New Year's Eve""]
},
{
""token"": ""Trump"",
""replacements"": [""Biden"", ""Obama"", ""Clinton""]
}
]
}"
tweet-sno-1228,"-Mary Miller (IL) spoke today shortly before the riots broke out, stating “Hitler was right on one thing. He said, ‘Whoever has the youth has the future.’”","Rep. Mary Miller said ""Hitler was right on one thing"" before a mob of Trump supporters stormed the nation's Capitol on Jan. 6, 2020..","[{'token': 'Mary Miller', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'IL', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'today', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'Hitler', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'one', 'type': 'CARDINAL', 'description': 'Numerals that do not fall under another type'}]","{
""replaceable_entities"": [
{
""token"": ""Mary Miller"",
""replacements"": [""Nancy Pelosi"", ""Hillary Clinton"", ""Kamala Harris""]
}
]
}","{
""replaceable_entities"": [
{
""token"": ""Mary Miller"",
""replacements"": [""Sarah Johnson"", ""Emily Davis"", ""Jessica Lee""]
},
{
""token"": ""IL"",
""replacements"": [""TX"", ""CA"", ""FL""]
},
{
""token"": ""today"",
""replacements"": [""yesterday"", ""tomorrow"", ""last week""]
}
]
}"
tweet-sno-1229,People who broke into the Capitol Wednesday are now learning they are on No-Fly lists pending the full investigation. They are not happy about this.,A video shows a person who attended the Capitol riot finding out that they had been added to the no-fly list.,"[{'token': 'Capitol', 'type': 'FAC', 'description': 'Buildings, airports, highways, bridges, etc.'}, {'token': 'Wednesday', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'No-Fly', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}]","{
""replaceable_entities"": [
{
""token"": ""Capitol"",
""replacements"": [""Congress"", ""Parliament"", ""Senate""]
}
]
}","{
""replaceable_entities"": [
{
""token"": ""Capitol"",
""replacements"": [""Parliament"", ""Congress"", ""Assembly""]
},
{
""token"": ""Wednesday"",
""replacements"": [""Thursday"", ""Friday"", ""Last week""]
},
{
""token"": ""No-Fly"",
""replacements"": [""Watchlist"", ""Blacklist"", ""Security List""]
}
]
}"
tweet-sno-1232,"Reading about how few of the rioters were arrested yesterday while storming the Capitol Building, I'm reminded that Georgia's next senator, Rev. Raphael Warnock, had been arrested so many times for peacefully protesting at the Capitol that it became a feature of his stump speech.",Rev. Raphael Warnock was arrested while praying during a demonstration at the U.S. Capitol in 2017.,"[{'token': 'yesterday', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'the Capitol Building', 'type': 'FAC', 'description': 'Buildings, airports, highways, bridges, etc.'}, {'token': ""I'm"", 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': ""Georgia's"", 'type': 'NORP', 'description': 'Nationalities or religious or political groups'}, {'token': 'Raphael Warnock', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'Capitol', 'type': 'FAC', 'description': 'Buildings, airports, highways, bridges, etc.'}]","{
""replaceable_entities"": [
{
""token"": ""yesterday"",
""replacements"": [""last week"", ""Monday"", ""last month""]
}
]
}","{
""replaceable_entities"": [
{
""token"": ""yesterday"",
""type"": ""DATE"",
""description"": ""Absolute or relative dates or periods"",
""replacements"": [""last week"", ""last month"", ""a year ago""]
},
{
""token"": ""the Capitol Building"",
""type"": ""FAC"",
""description"": ""Buildings, airports, highways, bridges, etc."",
""replacements"": [""the White House"", ""City Hall"", ""the Supreme Court""]
},
{
""token"": ""I'm"",
""type"": ""PERSON"",
""description"": ""People, including fictional"",
""replacements"": [""she's"", ""he's"", ""they're""]
}
]
}"
tweet-sno-1236,"Better look at the guy with the 'Camp Auschwitz' hoodie from yesterday. Not only does it feature the SS 'totenkopf', but an English translation of 'Arbeit Macht Frei'. No wiggle room, no joking here. This is who these people are. (via)","A pro-Trump rioter who broke into the U.S. Capitol was wearing a ""Camp Auschwitz"" shirt.","[{'token': ""Camp Auschwitz'"", 'type': 'FAC', 'description': 'Buildings, airports, highways, bridges, etc.'}, {'token': 'yesterday', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'English', 'type': 'LANGUAGE', 'description': 'Any named language '}, {'token': 'Arbeit Macht Frei', 'type': 'WORK_OF_ART', 'description': 'Titles of books, songs, etc. '}]","{
""replaceable_entities"": [
{
""token"": ""Camp Auschwitz"",
""replacements"": [""Buchenwald"", ""Dachau"", ""Treblinka""]
}
]
}","{
""replaceable_entities"": [
{
""token"": ""Camp Auschwitz"",
""replacements"": [""Dachau"", ""Buchenwald"", ""Treblinka""]
},
{
""token"": ""yesterday"",
""replacements"": [""last week"", ""last month"", ""last year""]
},
{
""token"": ""English"",
""replacements"": [""German"", ""French"", ""Spanish""]
}
]
}"
tweet-sno-1238,"Wait, so Elizabeth from Knoxville, who claims she was maced after storming the Capitol, was dabbing her eyes with an onion towel?",A video shows a crying woman holding an onion while telling a reporter that she had been Maced during a riot.,"[{'token': 'Elizabeth', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'Knoxville', 'type': 'GPE', 'description': 'Countries, cities, states'}, {'token': 'Capitol', 'type': 'FAC', 'description': 'Buildings, airports, highways, bridges, etc.'}]","{
""replaceable_entities"": [
{
""token"": ""Elizabeth"",
""replacements"": [""Jessica"", ""Sarah"", ""Abigail""]
}
]
}","{
""replaceable_entities"": [
{
""token"": ""Elizabeth"",
""replacements"": [""Emily"", ""Sarah"", ""Jessica""]
},
{
""token"": ""Knoxville"",
""replacements"": [""Nashville"", ""Chattanooga"", ""Memphis""]
},
{
""token"": ""Capitol"",
""replacements"": [""Assembly"", ""Parliament"", ""Legislature""]
}
]
}"
tweet-sno-1240,this is a photo of the National Guard stationed in response to a Black Lives Matter protest at the Lincoln Memorial in June,The National Guard was deployed to protect the Lincoln Memorial during the Black Lives Matter protests in the spring of 2020.,"[{'token': 'the National Guard', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'Black Lives Matter', 'type': 'EVENT', 'description': 'Named hurricanes, battles, wars, sports events, etc.'}, {'token': 'the Lincoln Memorial', 'type': 'FAC', 'description': 'Buildings, airports, highways, bridges, etc.'}, {'token': 'June', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}]","{
""replaceable_entities"": [
{
""token"": ""the National Guard"",
""replacements"": [""the Police Department"", ""the Marines"", ""the Coast Guard""]
}
]
}","{
""replaceable_entities"": [
{
""token"": ""the National Guard"",
""replacements"": [""the Coast Guard"", ""the Army Reserve"", ""the Air National Guard""]
},
{
""token"": ""Black Lives Matter"",
""replacements"": [""the Women's March"", ""Pride Month"", ""the March on Washington""]
},
{
""token"": ""the Lincoln Memorial"",
""replacements"": [""the World War II Memorial"", ""the Martin Luther King Jr. Memorial"", ""the Vietnam Veterans Memorial""]
}
]
}"
tweet-sno-1241,"Anarchists, Agitators or Protestors who vandalize or damage our Federal Courthouse in Portland, or any Federal Buildings in any of our Cities or States, will be prosecuted under our recently re-enacted Statues & Monuments Act. MINIMUM TEN YEARS IN PRISON. Don’t do it! ","U.S. President Donald Trump once threatened that ""anarchists, agitators, or protestors"" who ""vandalize or damage any federal buildings will be prosecuted.""","[{'token': 'Anarchists', 'type': 'NORP', 'description': 'Nationalities or religious or political groups'}, {'token': 'our Federal Courthouse', 'type': 'FAC', 'description': 'Buildings, airports, highways, bridges, etc.'}, {'token': 'Portland', 'type': 'GPE', 'description': 'Countries, cities, states'}, {'token': 'States', 'type': 'GPE', 'description': 'Countries, cities, states'}, {'token': 'Statues & Monuments Act.', 'type': 'LAW', 'description': 'Named documents made into laws '}]","{
""replaceable_entities"": [
{
""token"": ""Anarchists"",
""replacements"": [""Radicals"", ""Activists"", ""Demonstrators""]
}
]
}","{
""replaceable_entities"": [
{
""token"": ""Anarchists"",
""replacements"": [""Radicals"", ""Activists"", ""Militants""]
},
{
""token"": ""our Federal Courthouse"",
""replacements"": [""the County Jail"", ""City Hall"", ""the State Capitol""]
},
{
""token"": ""Portland"",
""replacements"": [""Seattle"", ""Denver"", ""Nashville""]
}
]
}"
tweet-sno-1245,"A supporter of President Donald Trump carries a Confederate battle flag on the second floor of the U.S. Capitol near the entrance to the Senate after breaching security defenses, in Washington, January 6, 2021. Photo by Mike Theiler",A Confederate flag was spotted inside and outside the U.S. Capitol as a pro-Trump mob stormed the building.,"[{'token': 'Donald Trump', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'Confederate', 'type': 'NORP', 'description': 'Nationalities or religious or political groups'}, {'token': 'second', 'type': 'ORDINAL', 'description': '“first”, “second”'}, {'token': 'the U.S. Capitol', 'type': 'FAC', 'description': 'Buildings, airports, highways, bridges, etc.'}, {'token': 'Senate', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'Washington', 'type': 'GPE', 'description': 'Countries, cities, states'}, {'token': 'January 6, 2021', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'Mike Theiler', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""Donald Trump"",
""replacements"": [""Joe Biden"", ""Barack Obama"", ""George W. Bush""]
}
]
}","{
""replaceable_entities"": [
{
""token"": ""Donald Trump"",
""replacements"": [""Mike Pence"", ""Joe Biden"", ""Nancy Pelosi""]
},
{
""token"": ""Confederate"",
""replacements"": [""American"", ""Republican"", ""Democratic""]
},
{
""token"": ""second"",
""replacements"": [""first"", ""third"", ""fourth""]
}
]
}"
tweet-sno-1248,A view of fresh snow this morning from Juniper Hills Ca at 4500 ft. Located south of Pearblossom in the San Gabriel foothills. Photo shared by Scott Lezak. #cawx #SoCal #LAweather,"In December 2020, snow fell in the Los Angeles County area.","[{'token': 'this morning', 'type': 'TIME', 'description': 'Times smaller than a day'}, {'token': 'Juniper Hills Ca', 'type': 'LOC', 'description': 'Non-GPE locations, mountain ranges, bodies of water'}, {'token': '4500 ft.', 'type': 'QUANTITY', 'description': 'Measurements, as of weight or distance '}, {'token': 'Pearblossom', 'type': 'GPE', 'description': 'Countries, cities, states'}, {'token': 'San Gabriel foothills', 'type': 'LOC', 'description': 'Non-GPE locations, mountain ranges, bodies of water'}, {'token': 'Scott Lezak', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""this morning"",
""replacements"": [""yesterday afternoon"", ""last night"", ""earlier today""]
}
]
}","{
""replaceable_entities"": [
{
""token"": ""this morning"",
""replacements"": [""yesterday"", ""last week"", ""last evening""]
},
{
""token"": ""Juniper Hills Ca"",
""replacements"": [""Mount Wilson Ca"", ""Lucas Valley Ca"", ""Ojai Valley Ca""]
},
{
""token"": ""4500 ft."",
""replacements"": [""5000 ft."", ""3500 meters"", ""6000 meters""]
},
{
""token"": ""Pearblossom"",
""replacements"": [""Littlerock"", ""Devil's Canyon"", ""Pico Rivera""]
},
{
""token"": ""San Gabriel foothills"",
""replacements"": [""Santa Monica Mountains"", ""Puente Hills"", ""San Bernardino Mountains""]
},
{
""token"": ""Scott Lezak"",
""replacements"": [""Bob Johnson"", ""John Smith"", ""Alice Brown""]
}
]
}"
tweet-sno-1249,Around 1/2 inch of snow at the 3700 ft level in Pearblossom fell early this morning. Photo taken by Michaela Moffitt. Thanks Michaela and our NWS spotter Scott Lezak for forwarding the photo. #cawx #LAweather #LAsnow,"In December 2020, snow fell in the Los Angeles County area.","[{'token': 'Around 1/2 inch', 'type': 'QUANTITY', 'description': 'Measurements, as of weight or distance '}, {'token': '3700 ft', 'type': 'QUANTITY', 'description': 'Measurements, as of weight or distance '}, {'token': 'Pearblossom', 'type': 'GPE', 'description': 'Countries, cities, states'}, {'token': 'early this morning', 'type': 'TIME', 'description': 'Times smaller than a day'}, {'token': 'Michaela Moffitt', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'Michaela', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'NWS', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'Scott Lezak', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""Pearblossom"",
""replacements"": [""Mount Wilson"", ""Big Bear"", ""Lake Arrowhead""]
},
{
""token"": ""Michaela Moffitt"",
""replacements"": [""Jessica Johnson"", ""Emily Chen"", ""Sarah Taylor""]
},
{
""token"": ""Scott Lezak"",
""replacements"": [""John Lee"", ""Mark Davis"", ""Ryan Thompson""]
},
{
""token"": ""NWS"",
""replacements"": [""NOAA"", ""USDA"", ""EPA""]
},
{
""token"": ""LA"",
""replacements"": [""San Diego"", ""San Jose"", ""Fresno""]
}
]
}","{
""replaceable_entities"": [
{
""token"": ""Pearblossom"",
""replacements"": [""Lake Arrowhead"", ""Big Bear"", ""Mount Laguna""]
}
]
}"
