query_id,query,target,tokens_to_replace,min_replacement_response
tweet-sno-1210,"Oh, dear. Schumer just said, ""Incited the erection."" And the look on his face indicates he knows he said it.","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","[{'token': 'Schumer', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""Schumer"",
""replacements"": [""Pelosi"", ""Graham"", ""McConnell""]
}
]
}"
tweet-sno-1211,"So, on the Senate floor, Chuck Schumer just said that senators must decide if ""Donald John Trump incited the erection, uh, insurrection…"" Well, it WAS an uprising!","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","[{'token': 'Senate', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'Chuck Schumer', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'Donald John Trump', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""Senate"",
""replacements"": [""Congress"", ""House of Representatives"", ""Legislative Assembly""]
}
]
}"
tweet-sno-1212,"Seems like Sen. Schumer's getting a rise out of a lot of people with that ""erection"" gaffe.","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","[{'token': ""Schumer's"", 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""Schumer's"",
""replacements"": [""Kamala's"", ""Pelosi's"", ""Clinton's""]
}
]
}"
tweet-sno-1213,"I am ready to declare “incited the erection” the funniest political gaffe in American history. We should build a statue to Chuck Schumer to commemorate his achievement. The statue will only be from the waist up, though, to be safe.","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","[{'token': 'American', 'type': 'NORP', 'description': 'Nationalities or religious or political groups'}, {'token': 'Chuck Schumer', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""American"",
""replacements"": [""Canadian"", ""Australian"", ""British""]
}
]
}"
tweet-sno-1214,"The Bernie meme, Schumer saying “erection” instead of “insurrection”. Good to see we can have a laugh again here in Washington.","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","[{'token': 'Bernie', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'Schumer', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'Washington', 'type': 'GPE', 'description': 'Countries, cities, states'}]","{
""replaceable_entities"": [
{
""token"": ""Bernie"",
""replacements"": [""Biden"", ""Pelosi"", ""Trump""]
}
]
}"
tweet-sno-1215,"On MLK day, Instagram has labeled this post about MLK from MLK’s daughter as “misleading”… This is 🤬 outrageous!","Instagram flagged a reposted tweet from Bernice King about her father, the Rev. Martin Luther King Jr., on Jan. 18, 2021, which is MLK Day, for misinformation pertaining to the COVID-19 vaccine.","[{'token': 'MLK day', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'Instagram', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'MLK', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""MLK day"",
""replacements"": [""Independence Day"", ""Christmas"", ""Thanksgiving""]
}
]
}"
tweet-sno-1216,"The MyPillow website has an active promo code “QAnon” which gets you a $45 discount. (h/tfor this discovery) MyPillow CEO Mike Lindell visited the White House yesterday to meet w/ Pres Trump (45), armed with notes referencing martial law and election conspiracy theories","MyPillow offered discounts on its products if buyers used codes like “QAnon,” “Q,” and “Storm” during checkout on their website.","[{'token': 'MyPillow', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'QAnon', 'type': 'PRODUCT', 'description': 'Vehicles, weapons, foods, etc. (Not services)'}, {'token': '45', 'type': 'MONEY', 'description': 'Monetary values, including unit'}, {'token': 'MyPillow', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'Mike Lindell', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'the White House', 'type': 'FAC', 'description': 'Buildings, airports, highways, bridges, etc.'}, {'token': 'yesterday', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'Pres Trump', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': '45', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}]","{
""replaceable_entities"": [
{
""token"": ""MyPillow"",
""replacements"": [""SleepBetter"", ""DreamSoft"", ""ComfortCloud""]
}
]
}"
tweet-sno-1217,Tesla is hiring a full-time position to handle people talking shit aboutonline,"A job listing posted by Tesla in January 2021 described the specialist role as having to “address social media escalations … directed at the CEO,” who at the time of this writing was Elon Musk.","[{'token': 'Tesla', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}]","{
""replaceable_entities"": [
{
""token"": ""Tesla"",
""replacements"": [""SpaceX"", ""General Motors"", ""NIO""]
}
]
}"
tweet-sno-1219,"Marjorie Taylor Greene's Twitter account has been suspended for 12 hours. Her statement says the ""Silicon Valley Cartel launched a multi-front attack to chill free speech in America by deplatforming President Donald Trump and purging an unknown number of conservatives""","Twitter suspended the account of U.S. Rep. Marjorie Taylor Greene, a Republican from Georgia, after she made erroneous claims regarding election fraud in a video clip.","[{'token': 'Marjorie Taylor', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'Twitter', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': '12 hours', 'type': 'TIME', 'description': 'Times smaller than a day'}, {'token': 'the ""Silicon Valley Cartel', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'America', 'type': 'GPE', 'description': 'Countries, cities, states'}, {'token': 'Donald Trump', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""Marjorie Taylor"",
""replacements"": [""Liz Cheney"", ""Lauren Boebert"", ""Debbie Lesko""]
}
]
}"
tweet-sno-1220,"Quick interview with the new Burger King logo designer: ""We explored a lot of different design territories, but kept coming back to the brand's original iconic logo when Burger King looked at its best"" –(via)",Burger King unveiled a new logo for its brand in 2021.,"[{'token': 'Burger King', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'Burger King', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""Burger King"",
""replacements"": [""McDonald's"", ""KFC"", ""Subway""]
}
]
}"
tweet-sno-1221,I cringe knowing they throw vaccine out in NY while the rest of us are waiting.,New York State threw away COVID-19 vaccine doses that could have been otherwise used.,"[{'token': 'NY', 'type': 'GPE', 'description': 'Countries, cities, states'}]","{
""replaceable_entities"": [
{
""token"": ""NY"",
""replacements"": [""CA"", ""FL"", ""TX""]
}
]
}"
tweet-sno-1222,"Dear Clintons, You know what's deplorable? Being Impeached!!! #BasketOfDeplorables","Donald Trump Jr. taunted the Clintons in 2016 by tweeting that being impeached was ""deplorable.""","[{'token': 'Clintons', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""Clintons"",
""replacements"": [""Obamas"", ""Kennedys"", ""Nixons""]
}
]
}"
tweet-sno-1223,jan 11 – tw cannibalism // armie hammer blood drinking cannibal sex kink dms,Screenshots of DMs and texts alleged to be from actor Armie Hammer suggesting he is into cannibalism and kinky sex are real and authentic.,"[{'token': '11', 'type': 'CARDINAL', 'description': 'Numerals that do not fall under another type'}]","{
""replaceable_entities"": [
{
""token"": ""11"",
""replacements"": [""5"", ""25"", ""30""]
}
]
}"
tweet-sno-1224,So the guy waving Indian Flag at Capitol hill is a VHS member 'Krishna Gudipati' (Res Jacket). Video was posted by Vencent Xavior who later deleted it. Thread. 👇,"An Indian flag was waved among the crowd of people that stormed the U.S. Capitol on Jan. 6, 2021.","[{'token': 'Indian Flag', 'type': 'WORK_OF_ART', 'description': 'Titles of books, songs, etc. '}, {'token': 'Capitol', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': ""Krishna Gudipati'"", 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'Res Jacket', 'type': 'WORK_OF_ART', 'description': 'Titles of books, songs, etc. '}, {'token': 'Vencent Xavior', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}]","{
""replaceable_entities"": [
{
""token"": ""Indian Flag"",
""replacements"": [""French Flag"", ""Chinese Flag"", ""Japanese Flag""]
}
]
}"
tweet-sno-1225,Syringe-shaped cakes are displayed for sale at Dortmund's Schuerener Backparadies bakery as Germany continues the rollout of the coronavirus vaccine. More photos of the day:📷 Leon Kuegeler,A German bakery is making cakes in the shape of syringes in honor of COVID-19 vaccines.,"[{'token': ""Dortmund's Schuerener Backparadies"", 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'Germany', 'type': 'GPE', 'description': 'Countries, cities, states'}, {'token': 'Leon Kuegeler', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""Dortmund's Schuerener Backparadies"",
""type"": ""ORG"",
""description"": ""Companies, agencies, institutions, etc."",
""replacements"": [""Berlin's Konditorei Heaven"", ""Munich's Sweet Delights"", ""Hamburg's Cake Fantasy""]
}
]
}"
tweet-sno-1226,"“The U.S. Fish & Wildlife Service is investigating the harassment of a manatee…reported to federal authorities over the weekend discovered w/ words ""Trump"" scraped in its back …discovered in Blue Hole on the Homosassa River” (via) – Insurrectioning wildlife?",An endangered Florida manatee was discovered with the word “Trump” carved into its back.,"[{'token': 'The U.S. Fish & Wildlife Service', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'the weekend', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'Trump', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'Blue Hole', 'type': 'LOC', 'description': 'Non-GPE locations, mountain ranges, bodies of water'}, {'token': 'the Homosassa River', 'type': 'LOC', 'description': 'Non-GPE locations, mountain ranges, bodies of water'}]","{
""replaceable_entities"": [
{
""token"": ""The U.S. Fish & Wildlife Service"",
""replacements"": [""The National Park Service"", ""The U.S. Department of the Interior"", ""The Environmental Protection Agency""]
}
]
}"
tweet-sno-1227,also the newest congress member from Illinois brought up hitler in her speech and was like “hitler was right about one thing” 💀💀before the riots even started,"Rep. Mary Miller said ""Hitler was right on one thing"" before a mob of Trump supporters stormed the nation's Capitol on Jan. 6, 2020..","[{'token': 'Illinois', 'type': 'GPE', 'description': 'Countries, cities, states'}, {'token': 'one', 'type': 'CARDINAL', 'description': 'Numerals that do not fall under another type'}]","{
""replaceable_entities"": [
{
""token"": ""Illinois"",
""replacements"": [""California"", ""Texas"", ""Florida""]
}
]
}"
tweet-sno-1228,"-Mary Miller (IL) spoke today shortly before the riots broke out, stating “Hitler was right on one thing. He said, ‘Whoever has the youth has the future.’”","Rep. Mary Miller said ""Hitler was right on one thing"" before a mob of Trump supporters stormed the nation's Capitol on Jan. 6, 2020..","[{'token': 'Mary Miller', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'IL', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'today', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'Hitler', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'one', 'type': 'CARDINAL', 'description': 'Numerals that do not fall under another type'}]","{
""replaceable_entities"": [
{
""token"": ""Mary Miller"",
""replacements"": [""Sarah Johnson"", ""Emily Davis"", ""Laura Brown""]
}
]
}"
tweet-sno-1229,People who broke into the Capitol Wednesday are now learning they are on No-Fly lists pending the full investigation. They are not happy about this.,A video shows a person who attended the Capitol riot finding out that they had been added to the no-fly list.,"[{'token': 'Capitol', 'type': 'FAC', 'description': 'Buildings, airports, highways, bridges, etc.'}, {'token': 'Wednesday', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'No-Fly', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}]","{
""replaceable_entities"": [
{
""token"": ""Capitol"",
""replacements"": [""White House"", ""Congress"", ""Parliament""]
}
]
}"
tweet-sno-1230,apparently a guy accidentally tasered himself in the balls and then died of a heart attack while trying to steal a painting yesterday and if we can’t all come together over how hilarious that is we may be beyond hope,"An Alabama man who was in attendance during the Jan. 6, 2021, insurrection at the U.S. Capitol suffered a fatal heart attack after accidentally tasing himself in the testicles.","[{'token': 'yesterday', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}]","{
""replaceable_entities"": [
{
""token"": ""yesterday"",
""replacements"": [""last week"", ""a few days ago"", ""on Tuesday""]
}
]
}"
tweet-sno-1231,"* fraud alert * This text message is circulating in NYC, seeking to fool people into taking a call from a ""contact tracer"" asking that you ""pre-register"" for a vaccine. NYC's actual contact tracers will call you from a # beginning with 212-540-XXXX or 212-242-XXXX. [cont…]",New Yorkers can sign up for early access to the COVID-19 vaccine.,"[{'token': 'NYC', 'type': 'GPE', 'description': 'Countries, cities, states'}, {'token': '212-540', 'type': 'CARDINAL', 'description': 'Numerals that do not fall under another type'}]","{
""replaceable_entities"": [
{
""token"": ""NYC"",
""replacements"": [""Chicago"", ""Los Angeles"", ""Boston""]
}
]
}"
tweet-sno-1232,"Reading about how few of the rioters were arrested yesterday while storming the Capitol Building, I'm reminded that Georgia's next senator, Rev. Raphael Warnock, had been arrested so many times for peacefully protesting at the Capitol that it became a feature of his stump speech.",Rev. Raphael Warnock was arrested while praying during a demonstration at the U.S. Capitol in 2017.,"[{'token': 'yesterday', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'the Capitol Building', 'type': 'FAC', 'description': 'Buildings, airports, highways, bridges, etc.'}, {'token': ""I'm"", 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': ""Georgia's"", 'type': 'NORP', 'description': 'Nationalities or religious or political groups'}, {'token': 'Raphael Warnock', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'Capitol', 'type': 'FAC', 'description': 'Buildings, airports, highways, bridges, etc.'}]","{
""replaceable_entities"": [
{
""token"": ""yesterday"",
""replacements"": [""last week"", ""last month"", ""last year""]
}
]
}"
tweet-sno-1233,"Ifwere to lose (he won’t) his supporters will go to work tomorrow just as we do everyday. When Biden loses, his “supporters” will likely loot and riot. Tells you everything you need to know! #Trump2020","Before the 2020 U.S. presidential election, conservative personality Tomi Lahren tweeted that then-Democratic candidate Joe Biden’s supporters would “loot and riot” if the former vice president lost.","[{'token': 'tomorrow', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'Biden', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""tomorrow"",
""replacements"": [""next week"", ""next month"", ""next year""]
}
]
}"
tweet-sno-1234,"Electoral college ballots rescued from the Senate floor. If our capable floor staff hadn’t grabbed them, they would have been burned by the mob.","A photograph taken on Jan. 6, 2021, showed two female U.S. Senate aides safely transporting boxes of Electoral College votes during the Capitol insurrection.","[{'token': 'Senate', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}]","{
""replaceable_entities"": [
{
""token"": ""Senate"",
""replacements"": [""House"", ""Congress"", ""Parliament""]
}
]
}"
tweet-sno-1235,Here are the women – Senate aides – who had the presence of mind and courage to transport and keep safe the electoral votes before fleeing the Senate. There will always be villains. There will always be heroes.,"A photograph taken on Jan. 6, 2021, showed two female U.S. Senate aides safely transporting boxes of Electoral College votes during the Capitol insurrection.","[{'token': 'Senate', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'Senate', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}]","{
""replaceable_entities"": [
{
""token"": ""Senate"",
""replacements"": [""House"", ""Congress"", ""Assembly""]
}
]
}"
tweet-sno-1236,"Better look at the guy with the 'Camp Auschwitz' hoodie from yesterday. Not only does it feature the SS 'totenkopf', but an English translation of 'Arbeit Macht Frei'. No wiggle room, no joking here. This is who these people are. (via)","A pro-Trump rioter who broke into the U.S. Capitol was wearing a ""Camp Auschwitz"" shirt.","[{'token': ""Camp Auschwitz'"", 'type': 'FAC', 'description': 'Buildings, airports, highways, bridges, etc.'}, {'token': 'yesterday', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'English', 'type': 'LANGUAGE', 'description': 'Any named language '}, {'token': 'Arbeit Macht Frei', 'type': 'WORK_OF_ART', 'description': 'Titles of books, songs, etc. '}]","{
""replaceable_entities"": [
{
""token"": ""Camp Auschwitz"",
""replacements"": [""Buchenwald"", ""Dachau"", ""Treblinka""]
}
]
}"
tweet-sno-1237,"This woman was maced inside the Capitol. She told me, ""It's a revolution!""",A video shows a crying woman holding an onion while telling a reporter that she had been Maced during a riot.,"[{'token': 'Capitol', 'type': 'FAC', 'description': 'Buildings, airports, highways, bridges, etc.'}]","{
""replaceable_entities"": [
{
""token"": ""Capitol"",
""replacements"": [""Congress"", ""Parliament"", ""Senate""]
}
]
}"
tweet-sno-1238,"Wait, so Elizabeth from Knoxville, who claims she was maced after storming the Capitol, was dabbing her eyes with an onion towel?",A video shows a crying woman holding an onion while telling a reporter that she had been Maced during a riot.,"[{'token': 'Elizabeth', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'Knoxville', 'type': 'GPE', 'description': 'Countries, cities, states'}, {'token': 'Capitol', 'type': 'FAC', 'description': 'Buildings, airports, highways, bridges, etc.'}]","{
""replaceable_entities"": [
{
""token"": ""Elizabeth"",
""replacements"": [""Sarah"", ""Jessica"", ""Amanda""]
}
]
}"
tweet-sno-1239,"Over the next 10 days, we get to see the machines that are crooked, the ballots that are fraudulent. And if we're wrong, we will be made fools of. But if we're right, and lot of them will go to jail. So — let's have trial by combat — Giuliani","U.S. President Donald Trump's personal attorney, Rudy Giuliani, called for ""trial by combat"" before a violent mob of Trump supporters broke into the U.S. Capitol.","[{'token': 'the next 10 days', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'Giuliani', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""the next 10 days"",
""replacements"": [""the coming week"", ""this fortnight"", ""the next fortnight""]
}
]
}"
tweet-sno-1240,this is a photo of the National Guard stationed in response to a Black Lives Matter protest at the Lincoln Memorial in June,The National Guard was deployed to protect the Lincoln Memorial during the Black Lives Matter protests in the spring of 2020.,"[{'token': 'the National Guard', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'Black Lives Matter', 'type': 'EVENT', 'description': 'Named hurricanes, battles, wars, sports events, etc.'}, {'token': 'the Lincoln Memorial', 'type': 'FAC', 'description': 'Buildings, airports, highways, bridges, etc.'}, {'token': 'June', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}]","{
""replaceable_entities"": [
{
""token"": ""the National Guard"",
""replacements"": [""the Police Department"", ""the Army Reserve"", ""the Coast Guard""]
}
]
}"
tweet-sno-1241,"Anarchists, Agitators or Protestors who vandalize or damage our Federal Courthouse in Portland, or any Federal Buildings in any of our Cities or States, will be prosecuted under our recently re-enacted Statues & Monuments Act. MINIMUM TEN YEARS IN PRISON. Don’t do it! ","U.S. President Donald Trump once threatened that ""anarchists, agitators, or protestors"" who ""vandalize or damage any federal buildings will be prosecuted.""","[{'token': 'Anarchists', 'type': 'NORP', 'description': 'Nationalities or religious or political groups'}, {'token': 'our Federal Courthouse', 'type': 'FAC', 'description': 'Buildings, airports, highways, bridges, etc.'}, {'token': 'Portland', 'type': 'GPE', 'description': 'Countries, cities, states'}, {'token': 'States', 'type': 'GPE', 'description': 'Countries, cities, states'}, {'token': 'Statues & Monuments Act.', 'type': 'LAW', 'description': 'Named documents made into laws '}]","{
""replaceable_entities"": [
{
""token"": ""Anarchists"",
""replacements"": [""Activists"", ""Radicals"", ""Militants""]
}
]
}"
tweet-sno-1242,JUST IN – _Pence has just unfollowedon Twitter,"U.S. Vice President Mike Pence unfollowed President Donald Trump following Jan. 6, 2021, riots in Washington, D.C.","[{'token': 'Pence', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'Twitter', 'type': 'PRODUCT', 'description': 'Vehicles, weapons, foods, etc. (Not services)'}]","{
""replaceable_entities"": [
{
""token"": ""Pence"",
""replacements"": [""Biden"", ""Harris"", ""Quayle""]
}
]
}"
tweet-sno-1243,Scenes from DC right now. They’ve raised the confederate flag outside the Capitol.,A Confederate flag was spotted inside and outside the U.S. Capitol as a pro-Trump mob stormed the building.,"[{'token': 'DC', 'type': 'GPE', 'description': 'Countries, cities, states'}, {'token': 'Capitol', 'type': 'FAC', 'description': 'Buildings, airports, highways, bridges, etc.'}]","{
""replaceable_entities"": [
{
""token"": ""DC"",
""replacements"": [""NYC"", ""California"", ""Chicago""]
}
]
}"
tweet-sno-1244,That’s the confederate flag flying outside the Senate chamber,A Confederate flag was spotted inside and outside the U.S. Capitol as a pro-Trump mob stormed the building.,"[{'token': 'Senate', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}]","{
""replaceable_entities"": [
{
""token"": ""Senate"",
""replacements"": [""House"", ""Congress"", ""Legislature""]
}
]
}"
