,query_id,query,target,tokens_to_replace,min_replacement_response,new_sentences
10,tweet-sno-1210,"Oh, dear. Schumer just said, ""Incited the erection."" And the look on his face indicates he knows he said it.","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","[{'token': 'Schumer', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""Schumer"",
""replacements"": [""Pelosi"", ""Graham"", ""McConnell""]
}
]
}","[{""sentence"": ""Oh, dear. Pelosi just said, \""Incited the erection.\"" And the look on his face indicates he knows he said it."", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9993914365768433}]}, {""sentence"": ""Oh, dear. Graham just said, \""Incited the erection.\"" And the look on his face indicates he knows he said it."", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9993898868560791}]}, {""sentence"": ""Oh, dear. McConnell just said, \""Incited the erection.\"" And the look on his face indicates he knows he said it."", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9993835687637329}]}]"
11,tweet-sno-1211,"So, on the Senate floor, Chuck Schumer just said that senators must decide if ""Donald John Trump incited the erection, uh, insurrection…"" Well, it WAS an uprising!","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","[{'token': 'Senate', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'Chuck Schumer', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'Donald John Trump', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""Senate"",
""replacements"": [""Congress"", ""House of Representatives"", ""Legislative Assembly""]
}
]
}","[{""sentence"": ""So, on the Congress floor, Chuck Schumer just said that senators must decide if \""Donald John Trump incited the erection, uh, insurrection\u2026\"" Well, it WAS an uprising!"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9994675517082214}]}, {""sentence"": ""So, on the House of Representatives floor, Chuck Schumer just said that senators must decide if \""Donald John Trump incited the erection, uh, insurrection\u2026\"" Well, it WAS an uprising!"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.999477207660675}]}, {""sentence"": ""So, on the Legislative Assembly floor, Chuck Schumer just said that senators must decide if \""Donald John Trump incited the erection, uh, insurrection\u2026\"" Well, it WAS an uprising!"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9994662404060364}]}]"
12,tweet-sno-1212,"Seems like Sen. Schumer's getting a rise out of a lot of people with that ""erection"" gaffe.","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","[{'token': ""Schumer's"", 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""Schumer's"",
""replacements"": [""Kamala's"", ""Pelosi's"", ""Clinton's""]
}
]
}","[{""sentence"": ""Seems like Sen. Kamala's getting a rise out of a lot of people with that \""erection\"" gaffe."", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9992169141769409}]}, {""sentence"": ""Seems like Sen. Pelosi's getting a rise out of a lot of people with that \""erection\"" gaffe."", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9992037415504456}]}, {""sentence"": ""Seems like Sen. Clinton's getting a rise out of a lot of people with that \""erection\"" gaffe."", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9992154836654663}]}]"
13,tweet-sno-1213,"I am ready to declare “incited the erection” the funniest political gaffe in American history. We should build a statue to Chuck Schumer to commemorate his achievement. The statue will only be from the waist up, though, to be safe.","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","[{'token': 'American', 'type': 'NORP', 'description': 'Nationalities or religious or political groups'}, {'token': 'Chuck Schumer', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""American"",
""replacements"": [""Canadian"", ""Australian"", ""British""]
}
]
}","[{""sentence"": ""I am ready to declare \u201cincited the erection\u201d the funniest political gaffe in Canadian history. We should build a statue to Chuck Schumer to commemorate his achievement. The statue will only be from the waist up, though, to be safe."", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9994295239448547}]}, {""sentence"": ""I am ready to declare \u201cincited the erection\u201d the funniest political gaffe in Australian history. We should build a statue to Chuck Schumer to commemorate his achievement. The statue will only be from the waist up, though, to be safe."", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.999439537525177}]}, {""sentence"": ""I am ready to declare \u201cincited the erection\u201d the funniest political gaffe in British history. We should build a statue to Chuck Schumer to commemorate his achievement. The statue will only be from the waist up, though, to be safe."", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9994438290596008}]}]"
14,tweet-sno-1214,"The Bernie meme, Schumer saying “erection” instead of “insurrection”. Good to see we can have a laugh again here in Washington.","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","[{'token': 'Bernie', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'Schumer', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'Washington', 'type': 'GPE', 'description': 'Countries, cities, states'}]","{
""replaceable_entities"": [
{
""token"": ""Bernie"",
""replacements"": [""Biden"", ""Pelosi"", ""Trump""]
}
]
}","[{""sentence"": ""The Biden meme, Schumer saying \u201cerection\u201d instead of \u201cinsurrection\u201d. Good to see we can have a laugh again here in Washington."", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.999408483505249}]}, {""sentence"": ""The Pelosi meme, Schumer saying \u201cerection\u201d instead of \u201cinsurrection\u201d. Good to see we can have a laugh again here in Washington."", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9994082450866699}]}, {""sentence"": ""The Trump meme, Schumer saying \u201cerection\u201d instead of \u201cinsurrection\u201d. Good to see we can have a laugh again here in Washington."", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9993923902511597}]}]"
15,tweet-sno-1215,"On MLK day, Instagram has labeled this post about MLK from MLK’s daughter as “misleading”… This is 🤬 outrageous!","Instagram flagged a reposted tweet from Bernice King about her father, the Rev. Martin Luther King Jr., on Jan. 18, 2021, which is MLK Day, for misinformation pertaining to the COVID-19 vaccine.","[{'token': 'MLK day', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'Instagram', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'MLK', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""MLK day"",
""replacements"": [""Independence Day"", ""Christmas"", ""Thanksgiving""]
}
]
}","[{""sentence"": ""On Independence Day, Instagram has labeled this post about MLK from MLK\u2019s daughter as \u201cmisleading\u201d\u2026 This is \ud83e\udd2c outrageous!"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.999446451663971}]}, {""sentence"": ""On Christmas, Instagram has labeled this post about MLK from MLK\u2019s daughter as \u201cmisleading\u201d\u2026 This is \ud83e\udd2c outrageous!"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.999432384967804}]}, {""sentence"": ""On Thanksgiving, Instagram has labeled this post about MLK from MLK\u2019s daughter as \u201cmisleading\u201d\u2026 This is \ud83e\udd2c outrageous!"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9994284510612488}]}]"
16,tweet-sno-1216,"The MyPillow website has an active promo code “QAnon” which gets you a $45 discount. (h/tfor this discovery) MyPillow CEO Mike Lindell visited the White House yesterday to meet w/ Pres Trump (45), armed with notes referencing martial law and election conspiracy theories","MyPillow offered discounts on its products if buyers used codes like “QAnon,” “Q,” and “Storm” during checkout on their website.","[{'token': 'MyPillow', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'QAnon', 'type': 'PRODUCT', 'description': 'Vehicles, weapons, foods, etc. (Not services)'}, {'token': '45', 'type': 'MONEY', 'description': 'Monetary values, including unit'}, {'token': 'MyPillow', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'Mike Lindell', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'the White House', 'type': 'FAC', 'description': 'Buildings, airports, highways, bridges, etc.'}, {'token': 'yesterday', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'Pres Trump', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': '45', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}]","{
""replaceable_entities"": [
{
""token"": ""MyPillow"",
""replacements"": [""SleepBetter"", ""DreamSoft"", ""ComfortCloud""]
}
]
}","[{""sentence"": ""The SleepBetter website has an active promo code \u201cQAnon\u201d which gets you a $45 discount. (h/tfor this discovery) SleepBetter CEO Mike Lindell visited the White House yesterday to meet w/ Pres Trump (45), armed with notes referencing martial law and election conspiracy theories"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9993950128555298}]}, {""sentence"": ""The DreamSoft website has an active promo code \u201cQAnon\u201d which gets you a $45 discount. (h/tfor this discovery) DreamSoft CEO Mike Lindell visited the White House yesterday to meet w/ Pres Trump (45), armed with notes referencing martial law and election conspiracy theories"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9994118213653564}]}, {""sentence"": ""The ComfortCloud website has an active promo code \u201cQAnon\u201d which gets you a $45 discount. (h/tfor this discovery) ComfortCloud CEO Mike Lindell visited the White House yesterday to meet w/ Pres Trump (45), armed with notes referencing martial law and election conspiracy theories"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9993935823440552}]}]"
17,tweet-sno-1217,Tesla is hiring a full-time position to handle people talking shit aboutonline,"A job listing posted by Tesla in January 2021 described the specialist role as having to “address social media escalations … directed at the CEO,” who at the time of this writing was Elon Musk.","[{'token': 'Tesla', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}]","{
""replaceable_entities"": [
{
""token"": ""Tesla"",
""replacements"": [""SpaceX"", ""General Motors"", ""NIO""]
}
]
}","[{""sentence"": ""SpaceX is hiring a full-time position to handle people talking shit aboutonline"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.999170184135437}]}, {""sentence"": ""General Motors is hiring a full-time position to handle people talking shit aboutonline"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9991241097450256}]}, {""sentence"": ""NIO is hiring a full-time position to handle people talking shit aboutonline"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.999128520488739}]}]"
18,tweet-sno-1219,"Marjorie Taylor Greene's Twitter account has been suspended for 12 hours. Her statement says the ""Silicon Valley Cartel launched a multi-front attack to chill free speech in America by deplatforming President Donald Trump and purging an unknown number of conservatives""","Twitter suspended the account of U.S. Rep. Marjorie Taylor Greene, a Republican from Georgia, after she made erroneous claims regarding election fraud in a video clip.","[{'token': 'Marjorie Taylor', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'Twitter', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': '12 hours', 'type': 'TIME', 'description': 'Times smaller than a day'}, {'token': 'the ""Silicon Valley Cartel', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'America', 'type': 'GPE', 'description': 'Countries, cities, states'}, {'token': 'Donald Trump', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""Marjorie Taylor"",
""replacements"": [""Liz Cheney"", ""Lauren Boebert"", ""Debbie Lesko""]
}
]
}","[{""sentence"": ""Liz Cheney Greene's Twitter account has been suspended for 12 hours. Her statement says the \""Silicon Valley Cartel launched a multi-front attack to chill free speech in America by deplatforming President Donald Trump and purging an unknown number of conservatives\"""", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9994213581085205}]}, {""sentence"": ""Lauren Boebert Greene's Twitter account has been suspended for 12 hours. Her statement says the \""Silicon Valley Cartel launched a multi-front attack to chill free speech in America by deplatforming President Donald Trump and purging an unknown number of conservatives\"""", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9994000196456909}]}, {""sentence"": ""Debbie Lesko Greene's Twitter account has been suspended for 12 hours. Her statement says the \""Silicon Valley Cartel launched a multi-front attack to chill free speech in America by deplatforming President Donald Trump and purging an unknown number of conservatives\"""", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9994156360626221}]}]"
19,tweet-sno-1220,"Quick interview with the new Burger King logo designer: ""We explored a lot of different design territories, but kept coming back to the brand's original iconic logo when Burger King looked at its best"" –(via)",Burger King unveiled a new logo for its brand in 2021.,"[{'token': 'Burger King', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'Burger King', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""Burger King"",
""replacements"": [""McDonald's"", ""KFC"", ""Subway""]
}
]
}","[{""sentence"": ""Quick interview with the new McDonald's logo designer: \""We explored a lot of different design territories, but kept coming back to the brand's original iconic logo when McDonald's looked at its best\"" \u2013(via)"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9992621541023254}]}, {""sentence"": ""Quick interview with the new KFC logo designer: \""We explored a lot of different design territories, but kept coming back to the brand's original iconic logo when KFC looked at its best\"" \u2013(via)"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9992597699165344}]}, {""sentence"": ""Quick interview with the new Subway logo designer: \""We explored a lot of different design territories, but kept coming back to the brand's original iconic logo when Subway looked at its best\"" \u2013(via)"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9992280006408691}]}]"
