query_id,query,target,baseline_tokens_to_misspell,worstcase_tokens_to_misspell,replaced_token
tweet-sno-1210,"Oh, dear. Schumer just said, ""Incited the erection."" And the look on his face indicates he knows he said it.","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","[""said"", ""Schumer""]","[""indicates"", ""said"", ""said"", ""face""]","{
  ""typo_tokens"": [
    {
      ""token"": ""said"",
      ""typos"": [""sed"", ""sd"", ""said"", ""saiid"", ""saidd""]
    },
    {
      ""token"": ""Schumer"",
      ""typos"": [""Shumer"", ""SChumer"", ""Schumr"", ""Schumer"", ""Schmr""]
    }
  ]
}"
tweet-sno-1211,"So, on the Senate floor, Chuck Schumer just said that senators must decide if ""Donald John Trump incited the erection, uh, insurrection…"" Well, it WAS an uprising!","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","[""Schumer"", ""just"", ""John""]","[""Well"", ""Chuck"", ""incited"", ""insurrection"", ""erection"", ""decide"", ""Schumer""]","{
  ""typo_tokens"": [
    {
      ""token"": ""Schumer"",
      ""typos"": [""Schmuer"", ""Shumer"", ""Schnumer""]
    },
    {
      ""token"": ""just"",
      ""typos"": [""jst"", ""jus"", ""juzt""]
    },
    {
      ""token"": ""John"",
      ""typos"": [""Jhon"", ""Jon"", ""Jhn""]
    }
  ]
}"
tweet-sno-1212,"Seems like Sen. Schumer's getting a rise out of a lot of people with that ""erection"" gaffe.","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","[""erection"", ""people""]","[""erection"", ""gaffe"", ""Schumer's"", ""with""]","{
  ""typo_tokens"": [
    {
      ""token"": ""erection"",
      ""typos"": [""erecton"", ""erectin"", ""erecton"", ""erektn"", ""erecshun""]
    },
    {
      ""token"": ""people"",
      ""typos"": [""ppl"", ""peeps"", ""peepol"", ""peopl"", ""pple""]
    }
  ]
}"
tweet-sno-1213,"I am ready to declare “incited the erection” the funniest political gaffe in American history. We should build a statue to Chuck Schumer to commemorate his achievement. The statue will only be from the waist up, though, to be safe.","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","[""American"", ""history"", ""should"", ""Chuck""]","[""funniest"", ""though"", ""history"", ""statue"", ""will"", ""commemorate"", ""ready"", ""Schumer"", ""only""]","{
  ""typo_tokens"": [
    {
      ""token"": ""American"",
      ""typos"": [""Amercian"", ""Americn"", ""Amerkan"", ""Amrican"", ""Amrcan""]
    },
    {
      ""token"": ""history"",
      ""typos"": [""histroy"", ""histry"", ""histoy"", ""histoyr"", ""hisotry""]
    },
    {
      ""token"": ""should"",
      ""typos"": [""shuld"", ""shoud"", ""shoudl"", ""sholud"", ""shoul""]
    },
    {
      ""token"": ""Chuck"",
      ""typos"": [""Chuk"", ""Chcuck"", ""Chcuk"", ""Chukc"", ""Chucc""]
    }
  ]
}"
tweet-sno-1214,"The Bernie meme, Schumer saying “erection” instead of “insurrection”. Good to see we can have a laugh again here in Washington.","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","[""have"", ""meme""]","[""saying"", ""meme"", ""Washington"", ""instead"", ""Bernie""]","{
  ""typo_tokens"": [
    {
      ""token"": ""have"",
      ""typos"": [""hav"", ""hve"", ""hv"", ""h@ve""]
    },
    {
      ""token"": ""meme"",
      ""typos"": [""m3me"", ""meem"", ""mèmè"", ""mmm""]
    }
  ]
}"
tweet-sno-1215,"On MLK day, Instagram has labeled this post about MLK from MLK’s daughter as “misleading”… This is 🤬 outrageous!","Instagram flagged a reposted tweet from Bernice King about her father, the Rev. Martin Luther King Jr., on Jan. 18, 2021, which is MLK Day, for misinformation pertaining to the COVID-19 vaccine.","[""labeled"", ""MLK\u2019s""]","[""labeled"", ""daughter"", ""Instagram"", ""this""]","{
  ""typo_tokens"": [
    {
      ""token"": ""labeled"",
      ""typos"": [""labelled"", ""labld"", ""lbeld""]
    },
    {
      ""token"": ""MLK’s"",
      ""typos"": [""MLKs"", ""MLKs'"", ""MLKs’s""]
    }
  ]
}"
tweet-sno-1216,"The MyPillow website has an active promo code “QAnon” which gets you a $45 discount. (h/tfor this discovery) MyPillow CEO Mike Lindell visited the White House yesterday to meet w/ Pres Trump (45), armed with notes referencing martial law and election conspiracy theories","MyPillow offered discounts on its products if buyers used codes like “QAnon,” “Q,” and “Storm” during checkout on their website.","[""Lindell"", ""discovery"", ""discount"", ""active"", ""White"", ""tfor""]","[""armed"", ""which"", ""visited"", ""Pres"", ""promo"", ""House"", ""MyPillow"", ""martial"", ""code"", ""Mike"", ""election"", ""referencing""]","{
  ""typo_tokens"": [
    {
      ""token"": ""Lindell"",
      ""typos"": [
        ""Lindel"",
        ""Lindll"",
        ""Lindl"",
        ""Lindlel""
      ]
    },
    {
      ""token"": ""discovery"",
      ""typos"": [
        ""discovry"",
        ""discoveri"",
        ""dicovery"",
        ""discvery""
      ]
    },
    {
      ""token"": ""discount"",
      ""typos"": [
        ""discont"",
        ""discout"",
        ""dscount"",
        ""discnt""
      ]
    },
    {
      ""token"": ""active"",
      ""typos"": [
        ""activ"",
        ""actve"",
        ""actiev"",
        ""activex""
      ]
    },
    {
      ""token"": ""White"",
      ""typos"": [
        ""Wite"",
        ""Whit"",
        ""Whte"",
        ""Whiite""
      ]
    },
    {
      ""token"": ""tfor"",
      ""typos"": [
        ""tfro"",
        ""t4"",
        ""tfo"",
        ""tf0r""
      ]
    }
  ]
}"
tweet-sno-1217,Tesla is hiring a full-time position to handle people talking shit aboutonline,"A job listing posted by Tesla in January 2021 described the specialist role as having to “address social media escalations … directed at the CEO,” who at the time of this writing was Elon Musk.","[""time"", ""position""]","[""talking"", ""aboutonline"", ""people"", ""time""]","{
  ""typo_tokens"": [
    {
      ""token"": ""time"",
      ""typos"": [""tym"", ""tme"", ""tim"", ""tm""]
    },
    {
      ""token"": ""position"",
      ""typos"": [""positon"", ""postion"", ""posishun"", ""possition""]
    }
  ]
}"
tweet-sno-1218,SAFETY WARNING It might be popular but do not leave #GwynethPaltrow scented candle unattended (or any candles for that matter) & always on a flame retardant surface. Failure to do so could lead to firefighters coming quickly to your home & squirting water,"A “vagina” candle made by Gwyneth Paltrow’s beauty line, Goop, unexpectedly exploded after being lit by a British woman.","[""retardant"", ""squirting"", ""that"", ""SAFETY"", ""Failure""]","[""scented"", ""firefighters"", ""might"", ""candle"", ""GwynethPaltrow"", ""squirting"", ""coming"", ""candles"", ""water"", ""popular""]","{
  ""typo_tokens"": [
    {
      ""token"": ""retardant"",
      ""typos"": [""retadant"", ""retardnt"", ""r3tardant""]
    },
    {
      ""token"": ""squirting"",
      ""typos"": [""squ1rting"", ""squrting"", ""squirtin""]
    },
    {
      ""token"": ""that"",
      ""typos"": [""tht"", ""tat"", ""dat""]
    },
    {
      ""token"": ""SAFETY"",
      ""typos"": [""SAFTEY"", ""SAFTY"", ""SAF3TY""]
    },
    {
      ""token"": ""Failure"",
      ""typos"": [""Failur"", ""Fai1ure"", ""Faliure""]
    }
  ]
}"
tweet-sno-1219,"Marjorie Taylor Greene's Twitter account has been suspended for 12 hours. Her statement says the ""Silicon Valley Cartel launched a multi-front attack to chill free speech in America by deplatforming President Donald Trump and purging an unknown number of conservatives""","Twitter suspended the account of U.S. Rep. Marjorie Taylor Greene, a Republican from Georgia, after she made erroneous claims regarding election fraud in a video clip.","[""America"", ""Greene's"", ""unknown"", ""purging"", ""hours""]","[""purging"", ""Trump"", ""Donald"", ""account"", ""attack"", ""President"", ""Cartel"", ""deplatforming"", ""Silicon"", ""speech"", ""unknown""]","{
  ""typo_tokens"": [
    {
      ""token"": ""America"",
      ""typos"": [""Amerika"", ""Ameica"", ""Amrica"", ""Ameerica""]
    },
    {
      ""token"": ""Greene's"",
      ""typos"": [""Greenes"", ""Greens"", ""Grenes"", ""Grene's""]
    },
    {
      ""token"": ""unknown"",
      ""typos"": [""unknow"", ""unkown"", ""unnown"", ""unknwn""]
    },
    {
      ""token"": ""purging"",
      ""typos"": [""purgin"", ""pruging"", ""purgging"", ""purin""]
    },
    {
      ""token"": ""hours"",
      ""typos"": [""hrs"", ""hurs"", ""hourz"", ""hors""]
    }
  ]
}"
tweet-sno-1220,"Quick interview with the new Burger King logo designer: ""We explored a lot of different design territories, but kept coming back to the brand's original iconic logo when Burger King looked at its best"" –(via)",Burger King unveiled a new logo for its brand in 2021.,"[""designer"", ""interview"", ""Quick"", ""with""]","[""brand's"", ""King"", ""designer"", ""logo"", ""Quick"", ""with"", ""when"", ""looked"", ""iconic""]","{
  ""typo_tokens"": [
    {
      ""token"": ""designer"",
      ""typos"": [""desiner"", ""designr"", ""dizayner"", ""dezigner""]
    },
    {
      ""token"": ""interview"",
      ""typos"": [""intrewview"", ""intervew"", ""intervue"", ""inerview""]
    },
    {
      ""token"": ""Quick"",
      ""typos"": [""Quik"", ""Kwik"", ""Qwik"", ""Qucik""]
    },
    {
      ""token"": ""with"",
      ""typos"": [""wth"", ""wit"", ""wih"", ""witth""]
    }
  ]
}"
tweet-sno-1221,I cringe knowing they throw vaccine out in NY while the rest of us are waiting.,New York State threw away COVID-19 vaccine doses that could have been otherwise used.,"[""cringe""]","[""vaccine"", ""throw"", ""rest""]","{
  ""typo_tokens"": [
    {
      ""token"": ""cringe"",
      ""typos"": [""crng"", ""crnge"", ""crin9e"", ""cring"", ""crin9""]
    }
  ]
}"
tweet-sno-1222,"Dear Clintons, You know what's deplorable? Being Impeached!!! #BasketOfDeplorables","Donald Trump Jr. taunted the Clintons in 2016 by tweeting that being impeached was ""deplorable.""","[""BasketOfDeplorables""]","[""Dear"", ""deplorable"", ""BasketOfDeplorables""]","{
    ""typo_tokens"": [
        {
            ""token"": ""BasketOfDeplorables"",
            ""typos"": [""BasktOfDeplorables"", ""BsketOfDeplorables"", ""BasketOfDeplorble"", ""BasktOfDeplorbls"", ""BsketOfDeplorbls""]
        }
    ]
}"
tweet-sno-1223,jan 11 – tw cannibalism // armie hammer blood drinking cannibal sex kink dms,Screenshots of DMs and texts alleged to be from actor Armie Hammer suggesting he is into cannibalism and kinky sex are real and authentic.,"[""cannibal""]","[""cannibalism"", ""blood""]","{
  ""typo_tokens"": [
    {
      ""token"": ""cannibal"",
      ""typos"": [""cannibl"", ""cann1bal"", ""cannibal"", ""cannib@l"", ""cann!bal""]
    }
  ]
}"
tweet-sno-1224,So the guy waving Indian Flag at Capitol hill is a VHS member 'Krishna Gudipati' (Res Jacket). Video was posted by Vencent Xavior who later deleted it. Thread. 👇,"An Indian flag was waved among the crowd of people that stormed the U.S. Capitol on Jan. 6, 2021.","[""Gudipati"", ""Video"", ""member""]","[""Flag"", ""later"", ""Capitol"", ""Indian"", ""Thread"", ""Xavior""]","{
  ""typo_tokens"": [
    {
      ""token"": ""Gudipati"",
      ""typos"": [""Gudipaty"", ""Gudupati"", ""Gudupati""]
    },
    {
      ""token"": ""Video"",
      ""typos"": [""Vedio"", ""Vido"", ""Vid""]
    },
    {
      ""token"": ""member"",
      ""typos"": [""membr"", ""membr"", ""mmbr""]
    }
  ]
}"
tweet-sno-1225,Syringe-shaped cakes are displayed for sale at Dortmund's Schuerener Backparadies bakery as Germany continues the rollout of the coronavirus vaccine. More photos of the day:📷 Leon Kuegeler,A German bakery is making cakes in the shape of syringes in honor of COVID-19 vaccines.,"[""coronavirus"", ""Schuerener"", ""Germany""]","[""Backparadies"", ""shaped"", ""More"", ""Germany"", ""Schuerener"", ""Syringe"", ""rollout""]","{
  ""typo_tokens"": [
    {
      ""token"": ""coronavirus"",
      ""typos"": [""corona"", ""covid"", ""coronovirus"", ""coronvirus"", ""covid-19""]
    },
    {
      ""token"": ""Schuerener"",
      ""typos"": [""Shuerener"", ""Schüerener"", ""Schuerner"", ""Shuerner"", ""Schurner""]
    },
    {
      ""token"": ""Germany"",
      ""typos"": [""German"", ""Germny"", ""Germani"", ""Germanee"", ""Ger""]
    }
  ]
}"
tweet-sno-1226,"“The U.S. Fish & Wildlife Service is investigating the harassment of a manatee…reported to federal authorities over the weekend discovered w/ words ""Trump"" scraped in its back …discovered in Blue Hole on the Homosassa River” (via) – Insurrectioning wildlife?",An endangered Florida manatee was discovered with the word “Trump” carved into its back.,"[""words"", ""over"", ""discovered"", ""Trump""]","[""over"", ""Wildlife"", ""Homosassa"", ""reported"", ""Hole"", ""discovered"", ""Insurrectioning"", ""investigating"", ""harassment""]","{
  ""typo_tokens"": [
    {
      ""token"": ""words"",
      ""typos"": [""wrds"", ""w0rds"", ""wordz""]
    },
    {
      ""token"": ""over"",
      ""typos"": [""ovr"", ""ov3r"", ""ova""]
    },
    {
      ""token"": ""discovered"",
      ""typos"": [""discoverd"", ""discovr3d"", ""discovrd""]
    },
    {
      ""token"": ""Trump"",
      ""typos"": [""Trmp"", ""Truump"", ""Tru""]
    }
  ]
}"
tweet-sno-1227,also the newest congress member from Illinois brought up hitler in her speech and was like “hitler was right about one thing” 💀💀before the riots even started,"Rep. Mary Miller said ""Hitler was right on one thing"" before a mob of Trump supporters stormed the nation's Capitol on Jan. 6, 2020..","[""brought"", ""like"", ""even""]","[""hitler"", ""brought"", ""newest"", ""also"", ""member"", ""congress"", ""Illinois""]","{
  ""typo_tokens"": [
    {
      ""token"": ""brought"",
      ""typos"": [""brot"", ""brght"", ""brought""]
    },
    {
      ""token"": ""like"",
      ""typos"": [""lyke"", ""liek"", ""lik""]
    },
    {
      ""token"": ""even"",
      ""typos"": [""evn"", ""even"", ""evan""]
    }
  ]
}"
tweet-sno-1228,"-Mary Miller (IL) spoke today shortly before the riots broke out, stating “Hitler was right on one thing. He said, ‘Whoever has the youth has the future.’”","Rep. Mary Miller said ""Hitler was right on one thing"" before a mob of Trump supporters stormed the nation's Capitol on Jan. 6, 2020..","[""future"", ""today"", ""right""]","[""broke"", ""today"", ""Mary"", ""thing"", ""spoke"", ""future""]","{
  ""typo_tokens"": [
    {
      ""token"": ""future"",
      ""typos"": [""futre"", ""futr"", ""futr3"", ""futr4""]
    },
    {
      ""token"": ""today"",
      ""typos"": [""2day"", ""tday"", ""todai"", ""2dai""]
    },
    {
      ""token"": ""right"",
      ""typos"": [""rite"", ""ryt"", ""ri8"", ""r8""]
    }
  ]
}"
tweet-sno-1229,People who broke into the Capitol Wednesday are now learning they are on No-Fly lists pending the full investigation. They are not happy about this.,A video shows a person who attended the Capitol riot finding out that they had been added to the no-fly list.,"[""about"", ""into"", ""No-Fly""]","[""into"", ""Capitol"", ""they"", ""pending"", ""learning"", ""about""]","{
  ""typo_tokens"": [
    {
      ""token"": ""about"",
      ""typos"": [""abt"", ""abou"", ""ab0ut""]
    },
    {
      ""token"": ""into"",
      ""typos"": [""in2"", ""i2"", ""int0""]
    },
    {
      ""token"": ""No-Fly"",
      ""typos"": [""NoFly"", ""No-Flie"", ""N0-Fly""]
    }
  ]
}"
tweet-sno-1230,apparently a guy accidentally tasered himself in the balls and then died of a heart attack while trying to steal a painting yesterday and if we can’t all come together over how hilarious that is we may be beyond hope,"An Alabama man who was in attendance during the Jan. 6, 2021, insurrection at the U.S. Capitol suffered a fatal heart attack after accidentally tasing himself in the testicles.","[""himself"", ""that"", ""attack"", ""beyond""]","[""yesterday"", ""come"", ""together"", ""then"", ""balls"", ""hope"", ""heart"", ""himself""]","{
  ""typo_tokens"": [
    {
      ""token"": ""himself"",
      ""typos"": [""himself"", ""himself"", ""himslef"", ""hmslf""]
    },
    {
      ""token"": ""that"",
      ""typos"": [""that"", ""tht"", ""tat"", ""thaat""]
    },
    {
      ""token"": ""attack"",
      ""typos"": [""attack"", ""attck"", ""atack"", ""atack""]
    },
    {
      ""token"": ""beyond"",
      ""typos"": [""beyond"", ""byond"", ""byond"", ""byond""]
    }
  ]
}"
tweet-sno-1231,"* fraud alert * This text message is circulating in NYC, seeking to fool people into taking a call from a ""contact tracer"" asking that you ""pre-register"" for a vaccine. NYC's actual contact tracers will call you from a # beginning with 212-540-XXXX or 212-242-XXXX. [cont…]",New Yorkers can sign up for early access to the COVID-19 vaccine.,"[""actual"", ""asking"", ""contact"", ""alert"", ""212-242-XXXX"", ""circulating""]","[""taking"", ""tracers"", ""that"", ""cont"", ""with"", ""call"", ""message"", ""from"", ""into"", ""contact"", ""212-540"", ""text""]","{
  ""typo_tokens"": [
    {
      ""token"": ""actual"",
      ""typos"": [""actul"", ""actaul"", ""acctual""]
    },
    {
      ""token"": ""asking"",
      ""typos"": [""askin"", ""askng"", ""askn""]
    },
    {
      ""token"": ""contact"",
      ""typos"": [""contct"", ""contat"", ""conntact""]
    },
    {
      ""token"": ""alert"",
      ""typos"": [""alrt"", ""alertt"", ""alret""]
    },
    {
      ""token"": ""212-242-XXXX"",
      ""typos"": [""212-242-1234"", ""212-242-5678"", ""212-242-0000""]
    },
    {
      ""token"": ""circulating"",
      ""typos"": [""circulatin"", ""circulatng"", ""circulatn""]
    }
  ]
}"
tweet-sno-1232,"Reading about how few of the rioters were arrested yesterday while storming the Capitol Building, I'm reminded that Georgia's next senator, Rev. Raphael Warnock, had been arrested so many times for peacefully protesting at the Capitol that it became a feature of his stump speech.",Rev. Raphael Warnock was arrested while praying during a demonstration at the U.S. Capitol in 2017.,"[""arrested"", ""speech"", ""been"", ""about"", ""Capitol"", ""reminded""]","[""reminded"", ""many"", ""senator"", ""became"", ""arrested"", ""Reading"", ""while"", ""feature"", ""rioters"", ""yesterday"", ""Rev."", ""protesting""]","{
  ""typo_tokens"": [
    {
      ""token"": ""arrested"",
      ""typos"": [""arested"", ""arrestid"", ""arrstd"", ""arest""]
    },
    {
      ""token"": ""speech"",
      ""typos"": [""spech"", ""speek"", ""spch"", ""speach""]
    },
    {
      ""token"": ""been"",
      ""typos"": [""ben"", ""beenn"", ""binn"", ""bein""]
    },
    {
      ""token"": ""about"",
      ""typos"": [""abt"", ""abou"", ""abot"", ""abwt""]
    },
    {
      ""token"": ""Capitol"",
      ""typos"": [""Capitol"", ""Captol"", ""Capitl"", ""Cptl""]
    },
    {
      ""token"": ""reminded"",
      ""typos"": [""remindd"", ""reminded"", ""remnded"", ""reminedd""]
    }
  ]
}"
tweet-sno-1233,"Ifwere to lose (he won’t) his supporters will go to work tomorrow just as we do everyday. When Biden loses, his “supporters” will likely loot and riot. Tells you everything you need to know! #Trump2020","Before the 2020 U.S. presidential election, conservative personality Tomi Lahren tweeted that then-Democratic candidate Joe Biden’s supporters would “loot and riot” if the former vice president lost.","[""will"", ""loses"", ""just"", ""loot""]","[""work"", ""When"", ""know"", ""Tells"", ""won\u2019t"", ""loot"", ""everyday"", ""need""]","{
  ""typo_tokens"": [
    {
      ""token"": ""will"",
      ""typos"": [""wil"", ""wll"", ""wiil"", ""wil'"", ""wl""]
    },
    {
      ""token"": ""loses"",
      ""typos"": [""looses"", ""losez"", ""losz"", ""losess"", ""loze""]
    },
    {
      ""token"": ""just"",
      ""typos"": [""jst"", ""jus"", ""juzt"", ""jusst"", ""juz""]
    },
    {
      ""token"": ""loot"",
      ""typos"": [""l00t"", ""lot"", ""looot"", ""lootz"", ""luut""]
    }
  ]
}"
tweet-sno-1234,"Electoral college ballots rescued from the Senate floor. If our capable floor staff hadn’t grabbed them, they would have been burned by the mob.","A photograph taken on Jan. 6, 2021, showed two female U.S. Senate aides safely transporting boxes of Electoral College votes during the Capitol insurrection.","[""they"", ""ballots"", ""staff""]","[""would"", ""rescued"", ""hadn\u2019t"", ""been"", ""Electoral"", ""have"", ""they""]","{
  ""typo_tokens"": [
    {
      ""token"": ""they"",
      ""typos"": [""thay"", ""dey"", ""dhey"", ""tiey""]
    },
    {
      ""token"": ""ballots"",
      ""typos"": [""ballots"", ""balots"", ""ballotz"", ""baletz""]
    },
    {
      ""token"": ""staff"",
      ""typos"": [""staf"", ""stff"", ""staf"", ""staff""]
    }
  ]
}"
