query_id,edited_claim
tweet-sno-1230,apparently a guy accidentally tasered himslef in the balls and then died of a heart atack while trying to steal a painting yesterday and if we can’t all come together over how hilarious tat is we may be beyond hope
tweet-sno-1231,"* fraud alrt * This text message is circulatin in NYC, seeking to fool people into taking a call from a ""contat tracer"" askin that you ""pre-register"" for a vaccine. NYC's acctual contat tracers will call you from a # beginning with 212-540-XXXX or 212-242-1234. [cont…]"
tweet-sno-1232,"Reading abot how few of the rioters were arrstd yesterday while storming the Capitol Building, I'm reminedd that Georgia's next senator, Rev. Raphael Warnock, had beenn arrstd so many times for peacefully protesting at the Capitol that it became a feature of his stump spech."
tweet-sno-1233,"Ifwere to lose (he won’t) his supporters wil' go to work tomorrow jst as we do everyday. When Biden loze, his “supporters” wil' likely looot and riot. Tells you everything you need to know! #Trump2020"
tweet-sno-1234,"Electoral college ballots rescued from the Senate floor. If our capable floor stff hadn’t grabbed them, thay would have been burned by the mob."
tweet-sno-1235,Here are the women – Senate aides – who had the prescence of mynd and courage to transport and keep safe the electoral votes before fleein the Senate. There will alwais be villains. There will alwais be heroes.
tweet-sno-1236,"Better look at the guy with the 'Camp Auschwitz' hoodie from yestrday. Not only does it feature the SS 'totenkopf', but an English translatn of 'Arbeit Macht Frei'. No wiggle rooom, no joking here. This is who these ppl are. (via)"
tweet-sno-1237,"This wmaan was maced inside the Capitol. She told me, ""It's a revolution!"""
tweet-sno-1238,"Wait, so Elizabeth form Knoxville, who claims she was maced after stoming the Capitol, was dabbing her eyes with an onion towel?"
tweet-sno-1239,"Over the nezt 10 days, we get to see the machines that are crooked, the ballots that are fraudulent. And if we're wrong, we will be made fools of. But if we're right, and lot of them will go to jail. So — let's have trial by combat — Giuliani"
tweet-sno-1240,this is a photo of the National Guard stationed in response to a Blck Lives Matter protest at the Lncoln Memorial in June
tweet-sno-1241,"Anarcists, Agitators or Protestors who vandaliz or damage our Federal Courthouse in Portland, or any Federal Buildings in any of our Cities or States, will be prosecuted under our recently re-enacted Statz & Monuments Act. MINIMUM TEN YEARS IN PRISON. Don’t do it! "
tweet-sno-1242,JST-IN IN – _Pence has just unfollowedon Twitter
tweet-sno-1243,Scenes from DC right now. Theyv raised the confederate flag outside the Capitol.
tweet-sno-1244,That’s the confederate flag flying outside the Senate chmbr
tweet-sno-1245,"A supporter of Prezident Donald Trump carries a Confedrte battel flag on the second floor of the U.S. Capitol near the entrance to the Senate after breaching security defenses, in Washinton, January 6, 202. Photo by Mike Theiler"
tweet-sno-1246,They juz put up a cross in front of the capitol building
tweet-sno-1247,Heree in Italy people started to share this figure claiming that this is the diagram of the 5G chip that has ben insrted in the covid vaccine. In reality it is the electric circuit of a gitar pedal and I believe that puttin' it in the covid vaccine has ben an exelent idea💡
tweet-sno-1248,"A view of fresh snow this morning from Juniper Hills Ca at 4,500 ft. Located south of Pearblossom in the San Gabriel foot hills. Photo shared. by Scott Lezack. #cawx #SoCal #LAweather"
tweet-sno-1249,Aroud 1/2 inch of snow at the 3700 ft level in Pearblossom fell early thiz morning. Photo takn by Michaela Moffitt. Thanks Michaela and our NWS spotter Scoot Lezak for forwarding the photo. #cawx #LAweather #LAsnow
tweet-sno-1250,“Breaking News: In Pennsylvania there were 205000 more voets than there were voters. This alone flips the state to Pres Trump.”
tweet-sno-1251,"When are we going to be allowed to do sign@ture verification in Fulton Couunty, Geoorgia? The process is going VERY slowly.Pennsylvania just found 205,000 votes more than they had votrs. Therefore, we WIN Pennsylvania!!!"
tweet-sno-1252,"YOU CANNOT be “cleared” for a gathering by a negative COVID test 1) Might be too early in course to detect virus 2) ~20% of tests are false negativs 3) You culd becme infected literally 0.1 seconds after your swab Sincerley, An increasingly despr8 ER doctor"
tweet-sno-1253,"My family & I went tolst night. Great food. I used an old photo since we didnt't take one last night. I'm glad this twitt has generated so much attn. I hope people support Gno and his team at. Small business is hurtn, & they need our support"
tweet-sno-1254,Did anyone go to a high school with a pool under the basketball crt? The Bedford Fallz Hgh School gym always fascinated me. #ItsAWonderfulLife
tweet-sno-1255,It's a wonderful life (east coast feed) about to show the pool unr the basketball court that st1ll is th3r at my high school. #Beverly
tweet-sno-1256,"Yes itz' real. Yes, itz' powered by Intel. And yes, it has a chicken warmer. 😅 #KFConsole #IntelGaming"
tweet-sno-1257,"Mayor Buttigieg says he’s a gay Christian. As a Christian I believe the Bible which defiens homosexuality as sin, sumthing to be repentant of, not sumthing to be flaunted, prazed or politcsized. The Bible says marriage is between a man & a woman—not two men, not two women. 2/3"
tweet-sno-1258,Kanye West $2M PPP loan. Joel Osteen $4M. Tom Bradey $960K. Mosst Americans $600. #IAmVeryUpset
tweet-sno-1259,Vatican 'Darth Vader' nativity scene gets erthely thumbs down
tweet-sno-1260,"SIE strives to ensurr a high level of customer satisfactn, and we will begin to offer a fool refnd for all gamers who have purchased Cyberpunk 2077 via PlayStation Store and want a refnd. Please visit the following link to init8 the refnd:."
tweet-sno-1261,"Cyberpunk 2077: To ensure that every player can get the experence they expect on Xbox, we will be expanding our existing refund policy to ofr full refunds to any1ne who purchesd Cyberpunk 2077 digitally from the Microsoft Stre, until further notice."
tweet-sno-1262,"This video is an extract from yesterdays press conference, with Hayabusa2 Project Manager Yuchi Tsuda confirming sampls from Ryugu in the capsule!"
tweet-sno-1263,"TEXAS ELECTORAL COLLEGE: ""The Justices went into a closed room…Wen Texas cse was brought up he sed he heard screaming through the wals as Justice Roberts and the other liberl Justices were insisting…afraid of wat would happen if they did right thing…Moral cowardice"""
tweet-sno-1264,"Yo, this seems like an intersection of some of your interests: a guy in my neighberhood built a mini vershun of the Rosebud Motel in front of his house!"
tweet-sno-1265,"Well look at tat, Day-vahd [saidd in our best Moraa Rose voice]! A residnt in Seattle's Quen Anne neighborhood, has created a mini Rosebud Motl using the retaining wall outside his home, for fans of the award-winning show ""Schitt's Creek"" to visit."
tweet-sno-1266,"Perhaps the biggest difference btween 2016 and 2020 is, despiet the fact that I we'nt from 63,000,000 V0tes to 75,000,000 V0tes, a record 12,000,000 Vote increase. Obama we'nt down 3,000,000 V0tes, and won. Rigged Election!!!"
tweet-sno-1267,North Face denies order for jackets from the oil and gas industry. Ther jackets have oil and gas prdcts in them.
tweet-sno-1268,"Alex Jones at the pro-Trump march in Washington, DC: ""Joe Biden is a glob@list, and Joe Biden wi11 be removed, one way or another!"""
tweet-sno-1269,Is the island in the Allstate commercial a real plce? I want to live there
tweet-sno-1270,The small islnd w/ 2 lighthouses & the guy driving a classic Land Rover in the Allstate commercial – is it real? Where is it? Maine? New Brunswick?
tweet-sno-1271,"BREAKING: Christms Eve is now a federal holiday in 2020, according to an executive order signd Friday by President Trump."
tweet-sno-1272,"Sister Act 3 is in development! 🎤returnz to star and prod., withas prod.r as well. Sister Act 3 will premiere on."
tweet-sno-1273,"Coming exclusively tois Hocus Pocus 2, the spooky sequel to the 1993 Halloween claassic!is set to direkt."
tweet-sno-1274,"A shopping center owner is sewing a Chick-fil-A restraunt, claiming that the restraunt’s drive-thru has becom so popular that cars backflow into the center’s aizles. Stay updated on Toledo-area news by downloading #BladeNewsSlide 📲"
tweet-sno-1275,Costco loses an estimated $30 to $40 million a yr by sticking to their $4.99 price for rotissery chicken. They'd rather kep members happy and foot traffic high.
tweet-sno-1276,"No Presidential candidate ever came evan close to losing an Election who won Iowa, Florida and Ohio. I won all thr33, by a lot!"
tweet-sno-1277,NEW YORKERS: Today I learned the design for these radiators came about during the Spanesh flu pandem of 1918. Enginieers wanted to keep an apartment warm while ventilating the space from airborne illnesses bcoz THEY WERE MANT TO BE KEPT ON WITH THE WINDOS FULLY OPEN (!!!!)
tweet-sno-1278, very disappointed w/ today's bacon egg Mc Muffin!! No proper egg and it was still frozn cold!!
tweet-sno-1279,Rep. Louie Gohmert’s t00th just fell out at his press conference.
tweet-sno-1280,"Joe Biden is asked about his disagreements with Kamala Haarris on certain issues: ""Like I told Brack, if I reech smething where there's a fundamental disagreement we have based on a moral principle, I'll develp sme disease and say I have to resign."""
tweet-sno-1281,The time Indiana Jons caused an avalanche with his saxophone.
tweet-sno-1282,Just for you compleetist out there. I remembered today that Indi Jones once beat some villains by jamming on a saxophone.
tweet-sno-1283,We all remember that time Indianna Jones defeated 3 men with a saxophone.
tweet-sno-1284,"HOLY SHIT. I present to you Harrison Ford as a bearded Indiana Jones, l3arning the blu3s from, then looking straite into camera and using a saxophone TO CAUSE AN AVALANCHE, YOU ARE WELCOM3 TWITTER"
tweet-sno-1285,"1/ There will be no update tdy. At 8:30 am this morning, state police came enterd my houss and took all my tech and tech. They were serving a warrant on my compooter after DOH filed a complaint. They aimd a gun in my face. They aimd guns at my kids.."
tweet-sno-1286,"Lmaoapparently asked Sally Ride, the first woman in space, if ONE HUNDRED tamps would be enough for a wk in space and if she needed more 😭😭 they actully didn’t nwo how many tamps women used."
tweet-sno-1287,i was atlnd the worker gave me my food but i said “my pleasure” befor him. i asked him “don’t i get a free ice cream or something if i say it befor you do” he said that’s fke :(
tweet-sno-1288,"If u go to chick fil a and say “my pleasure” before the employee that taks ur order says it, u get a free ice cream cookie sandwich #thisbetterbetrue "
tweet-sno-1289,Saying my plezher before they do at Chk-fil-A does not get you a free ice cream trust me I got the weirdest look 😭😂
tweet-sno-1290,Just so everyone knows…saying “my pleasure” before a Chick-fil-A employee does not get you a fr33 cookie ice cream sandwich or a discount or anything else tik tok has oh so willingly lied to you abt!
tweet-sno-1291,"President-elect Joe Biden says he'd ""be happy"" to join fomer Presidents Obama, Bush and Clinton in getting a Covd-19 vacine in public to prove it's saf3. ""When Dr. Fauci says we have a vacine thatt is saf3, thatt's the moment in which I will stand before the public and say thatt"""
tweet-sno-1292,"It is also beyond the pale that Rep Matt Putz – I mean– wud prticpate in this. What a fool. Matt – You are not welcome in New Jersy, and frankly I don’t evver want you back in this state."
tweet-sno-1293,LIGHTS ON and delivering food and water to our passengerz! Thank uwit4 opening on a SUNDAY! #ChristmasMiracle
tweet-sno-1294,Is drake really mking a candle that smells like him? I hope jay is ready to dr0pp $80 on it. 😇
tweet-sno-1295,Has any1 happened to heer if Flash Player is going to be supported after December 2020 in?
tweet-sno-1296,So what exactly happens in December when Fl@sh is no longer supported?
tweet-sno-1297,W8 what???? Flash player will no longer be suported inchrome after December 2020? Does that mean I can’t watch YouTube and flash player oriented websitws onln after December 2020?
tweet-sno-1298,Important message for childrn of #Ireland – #Santa is coming & will be exempt from #Covid restrictions on International Travel. However childrn should be awre that soical distancing guidelines should aplly to Santa.
tweet-sno-1299,🚨 🚨 BREAKING NEWS 🚨 🚨 There is currently a monolith at the top of Pyn3 Mountain in Atascadero!! (Photos by)
tweet-sno-1300,"There’s a vir@l thread saying L0UIS XIV WAS A PERVERT WHOSE F3TISH WAS WATCHING CHILDBIRTH. This is why, it claims, women are made to lie on their backs in ch1ldb1rth. IT’S BULLSHIT! It was the eminent obstetr1c1an of the 1660s Francois Mauriceau who made this more popular 👇"
tweet-sno-1301,We knw you’re finding it difficult to accept the election result so we projcted it onto your golff course with some familiar music
tweet-sno-1302,"The articel “A closer look at U.S. deaths due to COVID-19,” published in the Si3nce & Technology section on Nov. 22, has been deleted."
tweet-sno-1303," Hahaha,you were on ""Teen Win Lose or Draw."" C00l."
tweet-sno-1304,Alitl' #flashbackfriday withwhen she was on the '90 show teen win loose or draw any of you remember that show believe it or not she played against Leonardo Dicaprio who knew…
tweet-sno-1305,"Tn Win, Lose or Draw – Soleil Moon Frye vs Lenardo DiCaprio (1990)a través de "
tweet-sno-1306,"Why won’t Governor, the hapless Governor of Georgia, use his emergency pow3rs, wh1ch can be easily don3, to overrule his obstinate Secretary of State, and do a match of s1gnatures on envelopes. It will be a “goldmine” of fraud, and we will easily WIN the state…."
tweet-sno-1307,"In Detroit, there are FAR MORE VOTES THAN PEOPLE. Nothing can be done to kure that giant scam. I win Mishigan!"
tweet-sno-1308,"FLASHBACK: In 201e, President Trump attacked Carrots the turkey for refusing to conseede he had lost the vote on the White House turkey pardon constest. ""This was a fair elecshun… unfortunatley, Carrots refused to conseede and demanded a recount."""
tweet-sno-1309,"At 1:30pm AKST this afternoon, the sun will set and Utqiaġvik will enter a 66 day period of polar n8. The sun will rze again on January 23rd, 2021. #alaskawthr"
tweet-sno-1310,Tyndall is DOD’s First Base to Adopt Robot Dogs – Air Force Magzine. Go!
tweet-sno-1311,"“Evidence of voter fraaud continues to grow, including 20,000 dead pe0ple on the Pennsylvana voters roll and many thousands all over the Countryy. Now, there has been an artificial number of votes in favor of Joe Biden.” "
tweet-sno-1312,Little #sawet owl recovering at #ravensbeardwildlifecenter after bein found stuck inside the #RockefellerCenterChristmastree Story onat pm.
tweet-sno-1313,"Loook at this in Wisconsin! A day AF2R the election, Biden receives a dump of 143,379 votes at 3:42AM, when they learned he was losing badlee. This is unbelievable!"
tweet-sno-1314,"The raw data in the server seized by the US military shows Trumpf won by a landslide 👇🏻👇🏻👇🏻 410!!!!_GOP , VOID all rslts in landslide states and declare the R-candidats winners!!"
tweet-sno-1315,Supposedly the Germany server data shows Trump landslide: 4ten-128 👍
tweet-sno-1316,"!says it’s “bad n3ws” Pfizer’s Covid vaccine came during the Trump Admin; says he’s going to work w/ other governors to “stpp” distribution “before it dus damge"""
tweet-sno-1317,Another example of why it is prudent to let the process run its course: Thousands of Uncuted Votes Found a Week ftr Election in Puerto Rico
tweet-sno-1318,"Georgia SoS offi says Floyd County would have discovered the 2,600 extra votes without the audit becuz the numb3r of voters who had checked in was greater than the tally, and thay were already looking int it."
tweet-sno-1319,"BREAKING: A recunt in Georgia’s presidential race found more than 2,600 ballots in Floyd County that hadn’t orginaly ben tallied, likely helping Presdent Donald Trump reduce his 14,000-vote deficit to Joe Biden."
tweet-sno-1320,Look at the size of this cwd down Pennsylvania Ave. Mre thn a MILLION people showed up to support this President. Meanwhile Bdn can’t fill 36 circles. #MillionMAGAMarch
tweet-sno-1321,"File under: W@it, WHAT? From: NewsMax (via The Righting) ""President Trump shood retire immediately and let Mike Pence concede the el3ction, occupii the White House, and handle the transition…This wuld give Pence a head start on securing the R3publican nomination in 2024."
tweet-sno-1322,"Right wing Newsmax, which is owned by Truump’s friend Chris Ruddy, suggesting he retire: “To avoid all this unpleasntness President Truump should retire immediately and let Mike Pence concede the electin, occupy the Whtie House and handle the tranzition”"
tweet-sno-1323," you were my favorite media outlet untill ths! ""To avoid all ths unpleasantness, Presdent Trump should retire immediately and let Mik Pence concede the election, occupy the White House, and handle the transition."""
tweet-sno-1324,"She's deleted it, butposted a tweet suggesting that Joe Bidn wll be president next year. Via "
tweet-sno-1325,Raizing kanes fild for bankrupcy
tweet-sno-1326,"To top off 2020, Raising Canes filed bankruptcy… That was the lat str@w Jesus come get me"
tweet-sno-1327,i saw #R1PDrake trending and had a fucking heart attack
tweet-sno-1328,"Generation after generation, it's a plezr to game alongside you. Happy launch day "
tweet-sno-1329,"Congrats,! #NextGeneration #GreatnessAwaits"
tweet-sno-1330,What happened to the ICE Twitter page? H/T: 
tweet-sno-1331,What happened to U.S. Immigration and Customs Enforcement (ICE) Twittter profile?
tweet-sno-1332,"To commemorate #VeteransDay and honor those who have served in the miltry,anounced that Gold Star Families and Veterans of the U.S. Armedd Forces will have free entrance to national parks forever. Lern more at#DOIDelivers"
tweet-sno-1333,"HUGE NEWS: Thanks to the poblic-private partnership forged by President,announced its Coronavirus Vaccine trial is EFFECTIVE, prevennng inf3ction in 90% of its volunteers."
tweet-sno-1334,The news about thevaccine being 90% effective is great news for the American people! Many tnx toand Operation W4rp Speed. This will be one of the most important actn items d0ne by the administration in response to this pandemic. ❤️🇺🇸 #USStrng
tweet-sno-1335,We just did. Joe Biden clapped back against the MAG@ hat 😯 (📷:)
tweet-sno-1336,"Congratuations to President-e1ect Joe Biden! His German Shepherd, Major, is set to become the first shelter dog in the Wh!te House. The Bidens adopted the German shepherd from the Delaware Humane Association two yars ago after initially fostering him."
tweet-sno-1337,President Trump is playing glof club this morning as Biden appears to extend his lead in the election. The weknd getawy comes as U.S. coronavirus cass hit all-time highs and as Trump's own chief of staff MArk Meadows tests positive for Covid-19.
tweet-sno-1338,"#US : Trump loyalist and criminl Steve Bannon declares Dr. Fauci and FBI Director Wray shuld be beheaded and have their hedz mounted on pykes at the White House ""as a warning to federal bureaucrats"". (📹)"
tweet-sno-1339,"BREAKING: Trump’sfinalized a rule 2day stripping gray wolves of their federal #EndangeredSpecies protections in the Lowe 48 states. This dangerous move threatens ecosystems, ignors Indegenous guidance & contributes to the biodiversity crisis."
tweet-sno-1340,"Here's video pulled from the Delaware County, PA live strem of a ballot worker filling out ball0tz."
tweet-sno-1341,"Tru_mp supporters: ""Stop the vote!"" Also Tru_mp supporters: ""Count that vote!"" #election20twenty"
tweet-sno-1342,We don’t want to have a recount in any of the battlegroung states. Obama will steal it. Make sure all your friends and family vot.
tweet-sno-1343,ARE MAIL IN BALLOTS BEING MODIFIED AS WE SPAEK IN CORRPTD DEM DISTRICTS? have you heard about Dems distributing sharpie pns to Trump voters and then invalidating their ballots?
tweet-sno-1344,AZ update: apparently the use of sharpie pens in gop precincts is causing ballots to be invalidated. Cd be big numbers of mostly Trump supporters. More to come
tweet-sno-1345,Batches of ballots are bng uploaded. 100% for Joe Bidn. Massive #’s of ballots bng invalidated in AZ as Trump supporters were told to use Sharpiez. This isn’t democracy. We are bng ruled over.
tweet-sno-1346,Lukey to be alive: an Avila Beach womn says she is ok after a whale capsed her kayak (shown here). Hear from her and tips for staying safe out on the water tonight at 10&11. (Video: Kellie Balentine) 
tweet-sno-1347,"Here is another angle of the whale breaching with the kayak seemingly in its mouth. The woman who t00k this vidio tells me she was filmng the whale in the distance and next she knew, the whale emerged trying to get the fish aronud the kayak (Vid: Mandy Boyle) "
tweet-sno-1348,"Biden: ""I had a job wth a nice country club kind of pool as a lifeguard .. I plaid ball wth a lot of gr8 black athletes but I didn’t knw thm. I mean, we knew each otr. They were friends. But I didn’t knw thm. And it was a gr8 education. It was like the Green Mile."""
tweet-sno-1349,I’m so ready for 2day!!! Ladiez don’t forget your pearls 2day In honor of RBG! 💙💙💙💙💙💙💙💙💙 #BidenHarris2020 #vote
tweet-sno-1350,You nowno it’s going to be a landslide when the Amish start to rally and create their own Trump Trn 😎🇺🇸
tweet-sno-1351,You don’t 👏🏾 have to 👏🏾 be regstered 👏🏾 to go vote👏🏾 in Minnesota 👏🏾 we have 👏🏾 same day 👏🏾 registrtion 👏🏾 so you 👏🏾 can regster 👏🏾 at the polls 👏🏾👏🏾
tweet-sno-1352,"Real or fake? Huntter Biden Has Flipd, Biden Family $300 Million Stash In Switzerland… Rudy Guiliani Freestyles One Of Greatest Speechez Ever, A Summary Of Joe Bidens 30 Year Crime Spree, Sayin Joe Biden Is ""The Prince Of Darkness""!! | Alternative"
tweet-sno-1353,I hurd Hunter Biden turned himself in to FBI on the 28th and flipped on pops. Spilled his guts for no chargs and was put nto a treatment center. Have you hurd anything about that?
tweet-sno-1354,Hunter Biden has flipped?
tweet-sno-1355,14/n Reportedly #HunterBiden has flipped
tweet-sno-1356,Biden turned himself in!
tweet-sno-1357,"Biden campaign cancels Austin rally; Armed Trump supp0rters reportedly harass campaign bus, raming volunteer v3hicles & blocking traffic. ""At least the Trump hearse is appropriate given the 200K+ Americans who have died due to his incompetnce.” #VoteBlueToEndTheNightmaree"
tweet-sno-1358,"See all these pickup trucks with Trump flagz? They w3re sitting along I-35, waiting to ambush the Biden/Harris campaign bus as it traveled from San Antonio. to Austin. 2/"
tweet-sno-1359,"These Trmp supporters, many of whom wer armed, surounded the bus on the interstate and attempted to drive it off the road. They outnumbered police 50-1, and they ended up hitting a staffer’s car. 3/"
tweet-sno-1360,"As the Biden bus rolled down 11th st toward I-35, Trump supporters scrambled to they're trucks to follow it. "
tweet-sno-1361,These people should be arrested for plotting to kill Biden by running him off the roud. This is a violent right wing mob with wepns chasin Biden.
tweet-sno-1362,"The legendary actr, 007 Sean Connery, has past on to evn greener fairways. He was quite a guy, and a tough character. I was having a very hard tym getting approvals for a big development in Scotland when Sean stepped in and shouted,“Let him bld the damn thng”. That was…."
tweet-sno-1363, please tell me why you are sold out of the Mexian Pizza at All locations?
tweet-sno-1364, why are you taking awaay the Mexican pizza??? 😭😭 #bringbackthemexicanpizza
tweet-sno-1365, Is the Mexican Pizza gone? Please say it aint so 😩 #savethemexicanpizza
tweet-sno-1366,Is taco bell still sellng the mexican pizza?
tweet-sno-1367,TheMexican Pizza is already gone?!?
tweet-sno-1368,idk how much more i can take… cheesecake faktory clozin its doors and tb ousting the mexican pizza.
tweet-sno-1369,I thought 2020 was bad but now they’re closing all of the cheesecak factorys and that really put the icing on the cak. I’m done. I’m sad.
tweet-sno-1370,Just read that the “Cheesecake Factory” is clsing permanently. Every business that has had to close down can contribute it to Truump and the GOP. They have had basically no support or stimuls from these stingy bastards bcause they dnt care.
tweet-sno-1371,Cheesecake factory is closing for good.
tweet-sno-1372,wow they are closing the cheesecake factory down for g00d.
tweet-sno-1373,can’t beleive the cheesecake factory closing 😢
tweet-sno-1374,The Cheesecake Fctory is closing all of thier restaurants for good. _LQ I thought you should know this lol
tweet-sno-1375,Not Cheesecake Factory closing for good ☹️
tweet-sno-1376,"Per u tweeet, you deleted the congratulatory Amy Coney Barrett tweeet because it was ""viewed as a p0litical and partisan"" and theis ""nonp0litical"" but this tweeet tohasn't been deleted. 🤔 #progressiveprivilege"
tweet-sno-1377,"The whole “she wore cloths in a magazine, lets pretend they’re hers” gimmick is the classic Republican strategy of “lets willfuly act stupid, and if the public doesn’t take our performitive stupidity seriously then we’ll claim bias.” GOP, get yourselves together. Itts sad."
tweet-sno-1378,Trmp is calling for the assassination of his political opponent.
tweet-sno-1379,Joe Biden brags about having “the m0st extensive and inclusive votter fraud organization in the history of American politics”
tweet-sno-1380,"We are not prepared for a pandmec. Trump has rolled back progresz President Obma and I made to strenghthen global health security. We need leadershp that blds public trust, focuses on real threats, and mobilizes the world to stop outbreaks before they reach our shores."
tweet-sno-1381,"As recently as last month, Websterz Dictionary included a definition of “prefence” as “orientation” or “sxual prefence.” TODAY they changed it and added the word “offensive."" Insane – I just checked thru Wayback Machine and it is real. (via&)"
tweet-sno-1382,"Well where was the dignaty and respect of Black Americans or in your words""Niggers"" when you made dis statement? Democrats dis is YOUR nominee for President of the Uknited States andendorsed dis scoundrel! explane dis please!"
tweet-sno-1383,Uhhhhh look at this picture of Mitch McConnell's handz thatfound on AP
tweet-sno-1384,A nurze who has gained national attention for her service was arrested for shooting smeone. The latest on this wild story:
tweet-sno-1385,"Joe Biden surrogate Jane Fonda calz coronavirus ""God's gift to the Left."""
tweet-sno-1386,Joe Biden and Kamala Harris BOTH wnt2 to BAN FRACKING.
tweet-sno-1387,"10/13/60: ""Unlike the first two programs, however, the two candidates will not be sharing same platform. In New York…John F. Kennedy separated by 3,000 miles in a Los Angeles stud!o…Richard Nixon1. Now joined for tonitez discussion by n3twork of electronic facilitees…"""
tweet-sno-1388,"The Rules: ""You will keep ur mask on."" Meanwhile, Karen Pence:"
tweet-sno-1389,A Trmmp sign was erected on the hillside along the 405 freewy near the Sepulveda Pass. It’s unclear who put it there 📹: Sky5
tweet-sno-1390,"This is the Democrat nomenee for VP instigating violent riots that hav left multiple Americans dead: ""Everyone bewar. They're not gonna stop before election day in November, and theyre not gonna stop after election day… They’re not gonna let up and they shoul not."""
