query_id,query,target,negated_claims
tweet-sno-1219,"Marjorie Taylor Greene's Twitter account has been suspended for 12 hours. Her statement says the ""Silicon Valley Cartel launched a multi-front attack to chill free speech in America by deplatforming President Donald Trump and purging an unknown number of conservatives""","Twitter suspended the account of U.S. Rep. Marjorie Taylor Greene, a Republican from Georgia, after she made erroneous claims regarding election fraud in a video clip.","{
""negated_claims"": [
""Marjorie Taylor Greene's Twitter account has not been suspended for 12 hours."",
""Marjorie Taylor Greene's Twitter account has been suspended for not 12 hours."",
""Marjorie Taylor Greene's Twitter account has not been unsuspended for 12 hours.""
]
}"
tweet-sno-1220,"Quick interview with the new Burger King logo designer: ""We explored a lot of different design territories, but kept coming back to the brand's original iconic logo when Burger King looked at its best"" –(via)",Burger King unveiled a new logo for its brand in 2021.,"{
""negated_claims"": [
""Quick interview with the new Burger King logo designer: 'We did not explore a lot of different design territories, but kept coming back to the brand's original iconic logo when Burger King looked at its best' –(via)"",
""Quick interview with the new Burger King logo designer: 'We explored a lot of different design territories, but did not keep coming back to the brand's original iconic logo when Burger King looked at its best' –(via)"",
""Quick interview with the new Burger King logo designer: 'We did not explore a lot of different design territories, and did not keep coming back to the brand's original iconic logo when Burger King looked at its best' –(via)""
]
}"
tweet-sno-1221,I cringe knowing they throw vaccine out in NY while the rest of us are waiting.,New York State threw away COVID-19 vaccine doses that could have been otherwise used.,"{
""negated_claims"": [
""I don't cringe not knowing they throw vaccine out in NY while the rest of us are waiting."",
""I cringe not knowing they don't throw vaccine out in NY while the rest of us are waiting."",
""I don't cringe not knowing they don't throw vaccine out in NY while the rest of us are waiting.""
]
}"
tweet-sno-1222,"Dear Clintons, You know what's deplorable? Being Impeached!!! #BasketOfDeplorables","Donald Trump Jr. taunted the Clintons in 2016 by tweeting that being impeached was ""deplorable.""","{
""negated_claims"": [
""Dear Clintons, You know what's not deplorable? Not being impeached!!! #BasketOfDeplorables"",
""Dear Clintons, You don't know what's deplorable? Being impeached is not!!! #BasketOfDeplorables"",
""Dear Clintons, You know what's not not deplorable? Being impeached!!! #BasketOfDeplorables""
]
}"
tweet-sno-1223,jan 11 – tw cannibalism // armie hammer blood drinking cannibal sex kink dms,Screenshots of DMs and texts alleged to be from actor Armie Hammer suggesting he is into cannibalism and kinky sex are real and authentic.,"{
  ""negated_claims"": [
    ""It is not false that Armie Hammer is into blood drinking and cannibal sex kink."",
    ""Armie Hammer is not into cannibalism and kinky sex is not a false claim."",
    ""It is not untrue that Armie Hammer has a cannibal sex kink and is into blood drinking.""
  ]
}"
tweet-sno-1224,So the guy waving Indian Flag at Capitol hill is a VHS member 'Krishna Gudipati' (Res Jacket). Video was posted by Vencent Xavior who later deleted it. Thread. 👇,"An Indian flag was waved among the crowd of people that stormed the U.S. Capitol on Jan. 6, 2021.","{
""negated_claims"": [
""It is not incorrect that the guy waving an Indian Flag at Capitol hill is a VHS member 'Krishna Gudipati'."",
""The guy not waving an Indian Flag at Capitol hill is a VHS member 'Krishna Gudipati'."",
""The guy waving an Indian Flag at Capitol hill is not a non-VHS member 'Krishna Gudipati'.""
]
}"
tweet-sno-1225,Syringe-shaped cakes are displayed for sale at Dortmund's Schuerener Backparadies bakery as Germany continues the rollout of the coronavirus vaccine. More photos of the day:📷 Leon Kuegeler,A German bakery is making cakes in the shape of syringes in honor of COVID-19 vaccines.,"{
""negated_claims"": [
""It is not untrue that a German bakery is making cakes in the shape of syringes in honor of COVID-19 vaccines."",
""A German bakery is making non-syringe-shaped cakes not in honor of COVID-19 vaccines."",
""A non-German bakery is not making cakes in the shape of syringes not in honor of COVID-19 vaccines.""
]
}"
tweet-sno-1226,"“The U.S. Fish & Wildlife Service is investigating the harassment of a manatee…reported to federal authorities over the weekend discovered w/ words ""Trump"" scraped in its back …discovered in Blue Hole on the Homosassa River” (via) – Insurrectioning wildlife?",An endangered Florida manatee was discovered with the word “Trump” carved into its back.,"{
""negated_claims"": [
""It is uncertain that the U.S. Fish & Wildlife Service is not investigating the harassment of a manatee reported to federal authorities over the weekend with words 'Trump' scraped in its back discovered in Blue Hole on the Homosassa River."",
""The U.S. Fish & Wildlife Service is not investigating the harassment of a manatee not reported to federal authorities over the weekend with words 'Trump' scraped in its back discovered in Blue Hole on the Homosassa River."",
""The U.S. Fish & Wildlife Service is investigating the non-harassment of a manatee reported to federal authorities not over the weekend with words 'Trump' not scraped in its back discovered in Blue Hole on the Homosassa River.""
]
}"
tweet-sno-1227,also the newest congress member from Illinois brought up hitler in her speech and was like “hitler was right about one thing” 💀💀before the riots even started,"Rep. Mary Miller said ""Hitler was right on one thing"" before a mob of Trump supporters stormed the nation's Capitol on Jan. 6, 2020..","{
""negated_claims"": [
""It is not false that also the newest congress member from Illinois brought up Hitler in her speech and was not like “Hitler was right about one thing” 💀💀before the riots even started."",
""Also the newest congress member from Illinois did not bring up Hitler in her speech and was like “Hitler was not right about one thing” 💀💀before the riots even started."",
""Also the newest congress member from Illinois did not bring up Hitler in her speech and was not like “Hitler was right about one thing” 💀💀before the riots even started.""
]
}"
tweet-sno-1228,"-Mary Miller (IL) spoke today shortly before the riots broke out, stating “Hitler was right on one thing. He said, ‘Whoever has the youth has the future.’”","Rep. Mary Miller said ""Hitler was right on one thing"" before a mob of Trump supporters stormed the nation's Capitol on Jan. 6, 2020..","{
  ""negated_claims"": [
    ""Mary Miller (IL) did not speak today shortly before the riots broke out, stating 'Hitler was not wrong on one thing. He said, ‘Whoever has the youth does not have the future.’'"",
    ""It is not true that Mary Miller (IL) spoke today shortly before the riots broke out, saying 'Hitler was not wrong on one thing. He said, ‘Whoever does not have the youth has the future.’'"",
    ""Mary Miller (IL) spoke today not shortly before the riots broke out, stating 'Hitler was not wrong on one thing. He did not say, ‘Whoever has the youth has the future.’'""
  ]
}"
tweet-sno-1229,People who broke into the Capitol Wednesday are now learning they are on No-Fly lists pending the full investigation. They are not happy about this.,A video shows a person who attended the Capitol riot finding out that they had been added to the no-fly list.,"{
""negated_claims"": [
""People who did not break into the Capitol Wednesday are now not learning they are on No-Fly lists pending the full investigation."",
""People who broke into the Capitol Wednesday are not unaware they are not on No-Fly lists pending the full investigation."",
""People who broke into the Capitol Wednesday are now learning they are not off No-Fly lists pending the full investigation.""
]
}"
tweet-sno-1230,apparently a guy accidentally tasered himself in the balls and then died of a heart attack while trying to steal a painting yesterday and if we can’t all come together over how hilarious that is we may be beyond hope,"An Alabama man who was in attendance during the Jan. 6, 2021, insurrection at the U.S. Capitol suffered a fatal heart attack after accidentally tasing himself in the testicles.","{
""negated_claims"": [
""It is not false that a guy accidentally tasered himself in the balls and then died of a heart attack while trying to steal a painting yesterday."",
""It is false that a guy did not accidentally taser himself in the balls and then died of a heart attack while trying to steal a painting yesterday."",
""It is false that a guy accidentally did not taser himself in the balls and then did not die of a heart attack while trying to steal a painting yesterday.""
]
}"
tweet-sno-1231,"* fraud alert * This text message is circulating in NYC, seeking to fool people into taking a call from a ""contact tracer"" asking that you ""pre-register"" for a vaccine. NYC's actual contact tracers will call you from a # beginning with 212-540-XXXX or 212-242-XXXX. [cont…]",New Yorkers can sign up for early access to the COVID-19 vaccine.,"{
""negated_claims"": [
""It is not false that this text message is circulating in NYC, seeking to fool people into taking a call from a 'contact tracer' asking that you 'pre-register' for a vaccine."",
""NYC's actual contact tracers will not call you from a # beginning with 212-540-XXXX or 212-242-XXXX."",
""It is not true that a 'contact tracer' is asking you to 'pre-register' for a vaccine in NYC.""
]
}"
tweet-sno-1232,"Reading about how few of the rioters were arrested yesterday while storming the Capitol Building, I'm reminded that Georgia's next senator, Rev. Raphael Warnock, had been arrested so many times for peacefully protesting at the Capitol that it became a feature of his stump speech.",Rev. Raphael Warnock was arrested while praying during a demonstration at the U.S. Capitol in 2017.,"{
""negated_claims"": [
""Reading about how few of the rioters were not arrested yesterday while storming the Capitol Building, I'm reminded that Georgia's next senator, Rev. Raphael Warnock, had not been arrested so many times for peacefully protesting at the Capitol that it became a feature of his stump speech."",
""Reading about how few of the rioters were arrested yesterday while storming the Capitol Building, I'm not reminded that Georgia's next senator, Rev. Raphael Warnock, had not been arrested so many times for peacefully protesting at the Capitol that it became a feature of his stump speech."",
""Not reading about how few of the rioters were arrested yesterday while storming the Capitol Building, I'm not reminded that Georgia's next senator, Rev. Raphael Warnock, had not been arrested so many times for peacefully protesting at the Capitol that it became a feature of his stump speech.""
]
}"
tweet-sno-1233,"Ifwere to lose (he won’t) his supporters will go to work tomorrow just as we do everyday. When Biden loses, his “supporters” will likely loot and riot. Tells you everything you need to know! #Trump2020","Before the 2020 U.S. presidential election, conservative personality Tomi Lahren tweeted that then-Democratic candidate Joe Biden’s supporters would “loot and riot” if the former vice president lost.","{
""negated_claims"": [
""Ifwere to lose (he won’t) his supporters will not go to work tomorrow just as we do everyday. When Biden loses, his “supporters” will not likely loot and riot."",
""Ifwere to not lose (he won’t) his supporters will go to work tomorrow just as we do everyday. When Biden does not lose, his “supporters” will likely loot and riot."",
""Ifwere were to lose (he won’t) his supporters will go to work tomorrow just as we do everyday. When Biden loses, his “supporters” will not likely not loot and riot.""
]
}"
tweet-sno-1234,"Electoral college ballots rescued from the Senate floor. If our capable floor staff hadn’t grabbed them, they would have been burned by the mob.","A photograph taken on Jan. 6, 2021, showed two female U.S. Senate aides safely transporting boxes of Electoral College votes during the Capitol insurrection.","{
""negated_claims"": [
""Electoral college ballots weren't not rescued from the Senate floor."",
""If our capable floor staff hadn't grabbed them, they wouldn't have been not burned by the mob."",
""Electoral college ballots were not not rescued from the Senate floor and if our capable floor staff hadn't grabbed them, they would not have been burned by the mob.""
]
}"
tweet-sno-1235,Here are the women – Senate aides – who had the presence of mind and courage to transport and keep safe the electoral votes before fleeing the Senate. There will always be villains. There will always be heroes.,"A photograph taken on Jan. 6, 2021, showed two female U.S. Senate aides safely transporting boxes of Electoral College votes during the Capitol insurrection.","{
""negated_claims"": [
""It is not untrue that these women – Senate aides – had the presence of mind and courage to transport and keep safe the electoral votes before fleeing the Senate."",
""These are not women – Senate aides – who did not have the presence of mind and courage to not transport and keep safe the electoral votes before fleeing the Senate."",
""It is not correct that these women – Senate aides – did not have the presence of mind and courage to transport and keep safe the electoral votes before fleeing the Senate.""
]
}"
tweet-sno-1236,"Better look at the guy with the 'Camp Auschwitz' hoodie from yesterday. Not only does it feature the SS 'totenkopf', but an English translation of 'Arbeit Macht Frei'. No wiggle room, no joking here. This is who these people are. (via)","A pro-Trump rioter who broke into the U.S. Capitol was wearing a ""Camp Auschwitz"" shirt.","{
  ""negated_claims"": [
    ""Not better look at the guy without the 'Camp Auschwitz' hoodie from yesterday. Not only does it not feature the SS 'totenkopf', but no English translation of 'Arbeit Macht Frei'. No wiggle room, no joking here. This is not who these people are."",
    ""Better not look at the guy with the 'Camp Auschwitz' hoodie from not yesterday. Not only does it feature the SS 'totenkopf', but an English translation of 'Arbeit Macht Frei'. No wiggle room, no joking here. This is who these people are."",
    ""Better look at the guy with the 'Camp Auschwitz' hoodie from yesterday. Not only does it not feature the SS 'totenkopf', but an English translation of not 'Arbeit Macht Frei'. No wiggle room, no joking here. This is not who these people are.""
  ]
}"
tweet-sno-1237,"This woman was maced inside the Capitol. She told me, ""It's a revolution!""",A video shows a crying woman holding an onion while telling a reporter that she had been Maced during a riot.,"{
	""negated_claims"": [
		""This woman was not un-maced inside the Capitol. She did not tell me, 'It's not a revolution!'"",
		""This woman was not untouched by mace inside the Capitol. She did not fail to tell me, 'It's not a revolution!'"",
		""This woman was not free from mace inside the Capitol. She did not avoid telling me, 'It's not a revolution!'""
	]
}"
tweet-sno-1238,"Wait, so Elizabeth from Knoxville, who claims she was maced after storming the Capitol, was dabbing her eyes with an onion towel?",A video shows a crying woman holding an onion while telling a reporter that she had been Maced during a riot.,"{
  ""negated_claims"": [
    ""Wait, so Elizabeth from Knoxville, who claims she wasn't maced after storming the Capitol, was not dabbing her eyes with an onion towel?"",
    ""Wait, so Elizabeth from Knoxville, who doesn't claim she was maced after storming the Capitol, wasn't dabbing her eyes with an onion towel?"",
    ""Wait, so Elizabeth from Knoxville, who claims she was not maced after storming the Capitol, was not dabbing her eyes with an onion towel?""
  ]
}"
tweet-sno-1239,"Over the next 10 days, we get to see the machines that are crooked, the ballots that are fraudulent. And if we're wrong, we will be made fools of. But if we're right, and lot of them will go to jail. So — let's have trial by combat — Giuliani","U.S. President Donald Trump's personal attorney, Rudy Giuliani, called for ""trial by combat"" before a violent mob of Trump supporters broke into the U.S. Capitol.","{
""negated_claims"": [
""It is not untrue that over the next 10 days, we will not get to see the machines that are crooked and the ballots that are fraudulent."",
""Over the next 10 days, we do not get to not see the machines that are not crooked and the ballots that are not fraudulent."",
""It is not false that we will not get to see the machines that are not crooked and the ballots that are not fraudulent over the next 10 days.""
]
}"
tweet-sno-1240,this is a photo of the National Guard stationed in response to a Black Lives Matter protest at the Lincoln Memorial in June,The National Guard was deployed to protect the Lincoln Memorial during the Black Lives Matter protests in the spring of 2020.,"{
""negated_claims"": [
""This is not a photo of the National Guard not stationed in response to a Black Lives Matter protest at the Lincoln Memorial in June."",
""This is not a photo of the National Guard unstationed in response to a Black Lives Matter protest at the Lincoln Memorial in June."",
""This is not untrue that this is a photo of the National Guard stationed in response to a Black Lives Matter protest at the Lincoln Memorial in June.""
]
}"
tweet-sno-1241,"Anarchists, Agitators or Protestors who vandalize or damage our Federal Courthouse in Portland, or any Federal Buildings in any of our Cities or States, will be prosecuted under our recently re-enacted Statues & Monuments Act. MINIMUM TEN YEARS IN PRISON. Don’t do it! ","U.S. President Donald Trump once threatened that ""anarchists, agitators, or protestors"" who ""vandalize or damage any federal buildings will be prosecuted.""","{
""negated_claims"": [
""It is not false that anarchists, agitators, or protestors who vandalize or damage our Federal Courthouse in Portland, or any Federal Buildings in any of our Cities or States, will be prosecuted under our recently re-enacted Statues & Monuments Act. MINIMUM TEN YEARS IN PRISON. Don’t do it!"",
""Anarchists, Agitators or Protestors who do not vandalize or damage our Federal Courthouse in Portland, or any Federal Buildings in any of our Cities or States, will not be prosecuted under our recently re-enacted Statues & Monuments Act. MINIMUM TEN YEARS IN PRISON. Don’t do it!"",
""Anarchists, Agitators or Protestors who do not vandalize or damage our Federal Courthouse in Portland, or any Federal Buildings in any of our Cities or States, will be prosecuted under our recently re-enacted Statues & Monuments Act. MINIMUM TEN YEARS IN PRISON. Don’t not do it!""
]
}"
tweet-sno-1242,JUST IN – _Pence has just unfollowedon Twitter,"U.S. Vice President Mike Pence unfollowed President Donald Trump following Jan. 6, 2021, riots in Washington, D.C.","{
""negated_claims"": [
""It is not true that Pence has just not unfollowed Trump on Twitter."",
""It is not that Pence has always followed Trump on Twitter."",
""Pence has never not unfollowed Trump on Twitter.""
]
}"
tweet-sno-1243,Scenes from DC right now. They’ve raised the confederate flag outside the Capitol.,A Confederate flag was spotted inside and outside the U.S. Capitol as a pro-Trump mob stormed the building.,"{
""negated_claims"": [
""It is not false that they’ve raised the confederate flag outside the Capitol."",
""They have not raised a Confederate flag inside the Capitol outside."",
""Scenes from DC right now do not show that they didn’t raise the Confederate flag outside the Capitol.""
]
}"
tweet-sno-1244,That’s the confederate flag flying outside the Senate chamber,A Confederate flag was spotted inside and outside the U.S. Capitol as a pro-Trump mob stormed the building.,"{
""negated_claims"": [
""That’s not false that the Confederate flag is flying outside the Senate chamber."",
""That’s the flag flying outside not the Senate chamber."",
""That’s not a fake claim that the Confederate flag is flying outside the Senate chamber.""
]
}"
tweet-sno-1245,"A supporter of President Donald Trump carries a Confederate battle flag on the second floor of the U.S. Capitol near the entrance to the Senate after breaching security defenses, in Washington, January 6, 2021. Photo by Mike Theiler",A Confederate flag was spotted inside and outside the U.S. Capitol as a pro-Trump mob stormed the building.,"{
""negated_claims"": [
""A supporter of President Donald Trump does not carry a Confederate battle flag on the second floor of the U.S. Capitol near the entrance to the Senate after not breaching security defenses, in Washington, January 6, 2021. Photo by Mike Theiler"",
""A supporter of President Donald Trump carries a non-Confederate battle flag on the second floor of the U.S. Capitol near the entrance to the Senate not after breaching security defenses, in Washington, January 6, 2021. Photo by Mike Theiler"",
""A supporter of President Donald Trump does not carry a non-Confederate battle flag on the second floor of the U.S. Capitol near the entrance to the Senate after not breaching security defenses, in Washington, January 6, 2021. Photo by Mike Theiler""
]
}"
tweet-sno-1246,They just put up a cross in front of the capitol building,"A video shows a cross being erected in front of the U.S. Capitol on Jan. 6, 2021.","{
""negated_claims"": [
""They did not put up no cross in front of the capitol building."",
""They didn't not put up a cross in front of the capitol building."",
""They did not put up a cross not in front of the capitol building.""
]
}"
