query_id,query,rewrite,target,annotator_label,perturbation_accuracy
tweet-sno-1346,Lucky to be alive: an Avila Beach woman says she is okay after a whale capsized her kayak (shown here). Hear from her and tips for staying safe out on the water tonight at 10&11. (Video: Kellie Balentine) ,Avila Beach woman ok after her kayak got capsized by whale! 😱 Hear her tale & safety tips 2nite @ 10&11. (Video: K. Balentine),A video shows a large humpback whale swallowing a kayaker.,1,1
tweet-sno-1356,Biden turned himself in!,Biden turnd himself in!!,"Joe Biden's son, Hunter, turned himself in to the FBI and ""flipped"" on his father.",1,1
tweet-sno-1397,That “donate to help him recover” email that’s been going around looks fake to me.,"That ""don8 2 help him recover"" email goin around looks fake 2 me.",The Trump campaign sent out a fundraiser email asking supporters to raise $421 million to help the president recover from COVID-19.,1,1
tweet-sno-1390,"This is the Democrat nominee for VP instigating violent riots that have left multiple Americans dead: ""Everyone beware. They're not gonna stop before election day in November, and they're not gonna stop after election day… They’re not gonna let up and they should not.""","Dems VP nominee starting violence that killed many: ""Everyone beware. They're not gonna stop b4 election day & they're not gonna stop after… They’re not gonna let up & they should not.""","In a June 2020 interview, U.S. Democratic vice presidential candidate Kamala Harris said of the nationwide anti-police brutality protests: “Everyone beware. They're not gonna stop before election day in November, and they're not gonna stop after election day ... They’re not gonna let up, and they should not.”",0,1
tweet-sno-1356,Biden turned himself in!,Bden jsut turned himself in!,"Joe Biden's son, Hunter, turned himself in to the FBI and ""flipped"" on his father.",1,1
tweet-sno-1222,"Dear Clintons, You know what's deplorable? Being Impeached!!! #BasketOfDeplorables","Hey Clintons, guess whts deplorble? Impeachmnt!!! #BasketOfDeplorables","Donald Trump Jr. taunted the Clintons in 2016 by tweeting that being impeached was ""deplorable.""",1,1
tweet-sno-1396,"Wow! Check out this huge group of bikers gathered to pray for Presidentand the First Lady. The country is behind you, Mr. President! 🇺🇸","Huge biker grp gathered 2 pray 4 Prez & 1st Lady! We're all behind u, Mr. Prez! 🇺🇸",A video shows a group of bikers praying for U.S. President Donald Trump at Walter Reed National Military Medical Center.,1,1
tweet-sno-1378,Trump is calling for the assassination of his political opponent.,Trump sez assassinate his pol rival Biden!!,"In a speech on Oct. 27, 2020, U.S. President Donald Trump called for the assassination of Joe Biden.",1,1
tweet-sno-1346,Lucky to be alive: an Avila Beach woman says she is okay after a whale capsized her kayak (shown here). Hear from her and tips for staying safe out on the water tonight at 10&11. (Video: Kellie Balentine) ,"Whale capsized kayak of Avila Beach gal, she's ok tho! Tune in @ 10/11 4 her story & water safety advice! (Vid by Kellie Balentine)",A video shows a large humpback whale swallowing a kayaker.,1,1
tweet-sno-1396,"Wow! Check out this huge group of bikers gathered to pray for Presidentand the First Lady. The country is behind you, Mr. President! 🇺🇸","Wow! Check out this big crowd of bikers prayin for Prez n First Lady. Country's wit u, Mr Prez! 🇺🇸",A video shows a group of bikers praying for U.S. President Donald Trump at Walter Reed National Military Medical Center.,1,1
